,ID,Tweet
0,0,<user> why should you ban immigrants from operating small business every business start somewhere and tomorrow that will give people job
1,1,<user> what about us white arabs
2,2,<user> i agree it is a very high chance this is a white person saying it
3,3,<user> <user> i witnessed my black teammates defend and agree with my overtly racist white friend for calling a black dude a nigger i tried to defend dude being called nigger and they all hated on me
4,4,<user> <user> <user> <user> <user> <user> <user> white people fought and suffered for your ancestors freedom
5,5,phoebe bridgers is a sociopath
6,6,me and <user> were talking about it cosplayers and she was like if this richie cosplayer took off their glasses they would look like mike but theyre white stranger things
7,7,<user> how can rbi put such limits this has to change and make culprits pay for it must stop harassment of depositors
8,8,<user> it not like i am called a faggot due to my long hair and feminine tendencies a lot but hey being a tall white woman is hard as fuck amiright
9,9,be careful with thoes people who always joking around and can not never be serious
10,10,heejin hyunjin gay date while singing abt boys love that
11,11,bears last lmaoo niggas team tho
12,12,i am not surprised that boris johnson made it to the list but surprised that our <number> inch guy somehow has no sexual harassment complaint against him or have i been sleeping go back modi me too
13,13,<user> yeah while i do not agree with horrible acts of violence angela is taking revenge as a queer person on these horrible bullies especially the pedo carelessly there for shock sure but also early 8 0 was much different rape and revenge movies were still look at as empowering
14,14,whoever posts the fucking spoilers for endgame is catching these fucking hands
15,15,<user> and exactly how many of those muslim countries are ready to accept the muslim refugees
16,16,no more of this madness i shall take refugee in a bottle
17,17,<user> <user> that india one day ll be a muslim country again and muslims ll occupy india and yes we ll give rights to minorities do not worry we ll make india as a muslim country one day
18,18,the white bitch amber guyger has been locked away
19,19,fox news is so desperate to change subject they are now talking about how robert de niro got upset waiting for his ride and how full of white privilege he is and oh how he used to be a good actor wow pitiful wtf tucker
20,20,black ppl who went to all white schools become annoying ass adults 😂 😂 😂 😂
21,21,<user> except for the illegally part sounds like that is the explanation based on what happens when they go to court where white cops dealing with black people in the us are concerned nothing is illegal
22,22,<user> <user> i gotta go right there just something about white ass cheeks that drives me crazy
23,23,<user> initially misread this as him wearing a dindu nuffin shirt
24,24,still the same nigga i am evolving doe
25,25,acts <number> <number> generation see st luke <time> for if god comes right now immediately he will find that the white devil people are virtually literally spiritually running rampant like loose cannons running helter skelter everywhere like chickens with their heads removed
26,26,they either pick the gimmick light skin bitch or the white boy to profit off of and it never works
27,27,<user> <user> everybody knows that the demo bot plan in <number> is massive illegal alien voter fraud operation too big to recount 2020 and that the mcimpeachment is just intended to make the illegal aliens mcangry enough to mcvote jedi mind trick no workee oops
28,28,seen some niggas walking outside smoking a hookah they some fiens
29,29,can not stop thinking about the gay rats from arthur i hope they had a good honeymoon
30,30,definition from fr muslim this from persian mosolmān or moslemān pl of moslem and this of the ar clás muslim <number> adj who professes islamism ‖ religion of muhammad u t c <number> adj
