,ID,Type,Tweet,Explanation
0,0,NormalNormalNormal,little dogs always look like they hate you,This tweet is hateful because it suggests that small dogs always look angry or dislike their owners. This is not true and is an unfair generalization of small dogs.
1,1,NormalNormalNormal,wmsbg r mordche fried making tenoiyem tonight of his son michoel aron in pupa kidish hall, This tweet is hateful because it includes a derogatory term for Jewish people.
2,2,NormalNormalNormal,mexican women talk good in bed how do mexicans talk," The tweet is hateful because it perpetuates the stereotype that Mexican women are good in bed. This is a harmful stereotype because it objectifies and dehumanizes Mexican women, and implies that they are nothing more than sexual objects. This is offensive and disrespectful."
3,3,NormalNormalNormal,rt carlosphoenix to p50 fans ariana grande,This tweet is hateful because it is making fun of the death of George Floyd.
4,4,NormalNormalNormal,real madrid is a fucking joke bro 😂,"This tweet is hateful because it is making fun of Real Madrid, a professional soccer team."
5,5,NormalNormalHate,<user> hate you," There is no explanation given for why the user hates the person they are tweeting at, so it is difficult to say definitively. However, based on the language used and the fact that they are telling the person that they hate them, it is safe to say that this tweet is hateful."
6,6,NormalNormalHate,<user> <user> <user> <user> <user> what else we can expect from jihadi terrorist country,The tweet is hateful because it is making fun of the fact that Pakistan is a terrorist country.
7,7,NormalNormalHate,vcu got a bunch of potential blacked stars niggers massive out there,"This tweet is hateful because it suggests that black people are ""potential stars"" who are being held back by other black people. It also uses the word ""niggers"" which is a derogatory term used to refer to black people."
8,8,NormalNormalHate,after some contemplation i ’ ve decided that i fucking hate drinking alcohol,"This tweet is hateful because it is making a generalization about all alcohol drinkers. It is saying that they are all fucking hate, which is clearly not true. There are many people who enjoy drinking alcohol responsibly and do not deserve to be lumped into this negative category. This tweet is simply ignorant and hateful."
9,9,NormalNormalHate,<number> million jews died in the holocaust thingswesaybutdontmean,"The tweet is hateful because it denies the reality of the Holocaust. It is estimated that six million Jews were killed during the Holocaust, and this tweet denies that this happened. This is a form of Holocaust denial, which is a form of anti-Semitism."
10,10,NormalHateHate,impression your nigger your scrawny nigger again what a lesbian to keep yourself around for your nigger," This tweet is hateful because it uses the word ""nigger"" to refer to black people in a derogatory way. It also suggests that black people are inferior to white people, and that they are only good for manual labor. Furthermore, it implies that black people are only attracted to each other, and that they are not worthy of love or respect."
11,11,NormalHateHate,i remember i called this guy a towel head for saying sandn*gger <censored> and he got my acct suspended 😔,This tweet is hateful because it is using a derogatory term to refer to someone from the Middle East.
12,12,NormalHateHate,my bf hit me but it ok he hits like a faggot real," This tweet is hateful because it is promoting violence against LGBTQ people. It also uses a derogatory term to describe LGBTQ people, which is offensive and hurtful."
13,13,NormalHateHate,too many of you woman turn into retarded ass unstable creatures when you ain t got a nigga,"This tweet is hateful because it paints all women as ""retarded ass unstable creatures"" who only become happy when they have a man in their life. This is not only sexist but also incredibly offensive."
14,14,NormalHateHate,some fatass chubby kicked me out of a party <number> being a faggot apparently,The tweet is hateful because it is making fun of someone for their weight. It is also using a slur against gay people.
15,15,HateHateHate,<user> <user> wait wait you dumb nigger, This tweet is hateful because it is racist and uses a slur against black people.
16,16,HateHateHate,i hate black people you tell a nigger not to do something and they go on and do it niggerantics, This tweet is hateful because it perpetuates the stereotype that black people are disobedient and disrespectful. It also uses a derogatory term to refer to black people.
17,17,HateHateHate,i hate dykes,There is no explanation needed. This tweet is simply hateful and offensive towards lesbian women.
18,18,HateHateHate,<user> but to have someone called singh make a towel head comment on national tv is next level,The tweet is hateful because it targets a specific group of people (towel heads) and makes a derogatory comment about them. This type of hate speech can lead to discrimination and violence against those who are targeted.
19,19,HateHateHate,i wish the holocaust actually killed <number> million jews that would have been awesome, This tweet is hateful because it suggests that the Holocaust was a good thing because it killed a large number of Jews. This is a clear example of anti-Semitism and is deeply offensive.
