,ID,Tweet
0,0,you insecure lowlife broke ass desperate woman beating momma boy ass niggas are fucking sick get a grip on reality hoe dumbass dykes
1,1,<user> there does seem to be an uncanny similarity between the current usual suspects and previous ‘ asians ’
2,2,<user> if i am the faggot your the fucking slutty bitch drowning in my cum the tall bunny did not care
3,3,never let a nigga with no money disrespect you that ’ ghetto 🥴
4,4,<user> wow porch monkey ur mean
5,5,<user> that dude is retarded as fuck
6,6,bitches be with african niggas talkin about “ with papi 🥰 ” nah bitch you with baba 😫 😭
7,7,<user> welcome to femi nazi you are like yes to equal right but no to equal responsibility irony
8,8,<user> <user> israeli jews should unilaterally withdraw to being the <number> of the uae witout citizenship then arabs woulf be free
9,9,<user> you did hear about the police officer getting killed in california by illegal immigrant you need to build the wall
10,10,<user> yuh we nigga ima cowboys fan unlike ur patriot faggot ass
11,11,<user> an asshole immigrant from tajikistan now determine afghans fate impossible iran puppet piece of shit
12,12,everyone from the united kingdom is a fucking retard every muslim from the united kingdom is a fucking retard every white person from the united kingdom is a fucking retard god hates the british isles it should be called kafiristan
13,13,<user> you are genuinely retarded
14,14,<user> i really fucking hate you
15,15,<user> you all really going to not let dongsung take the fnc family photo even though he been with you for <number> years i hate you
16,16,faggot so gay dyke no homo
17,17,<user> i d rather people lived amongst immigrants than cunts like you is that plain enough english for you
18,18,tired of having shit skin
19,19,stupid polis god damn faggots got em got em got em what a good series got em eeek a penis como koko why southpark
20,20,adjusting for these niggas is ghetto let him adjust to you sis
21,21,<user> ew imagine standing a group of asians that fuck eachother
22,22,<user> reject radical islam
23,23,<user> refs are retardos
24,24,critcizes islam muslim twitter fucking bigot 😒 😒 may allah guide you 😭 😭 😭 straight to hell 😼 ☝ 🏽 💯
25,25,1 2 h ago ching chong accepted your friend request ❤️
26,26,<user> <user> oh no being a mediocre white guy is not panning out wah time to be a nazi
27,27,i am not judging i have dealt with a psycho broke ass negro that worse
28,28,i be bathing in hunneds white bitch with a onion
29,29,<user> <user> bend over and let illegal aliens take advantage
30,30,such a retard
31,31,nothing worse than a ghetto white bitch that says the n word
32,32,<user> i am trynna make it a non gay offensive slur lol i only call non gays faggots you a faggot if you got some bitchassness in you feel me
33,33,i really need a tan because i am tired of ppl calling me white
34,34,sins of saviours kenya is a shithole country damn
35,35,<user> 😂 😂 i ’ m with the negros alabama state
36,36,<user> do not eye roll me bitch be nice you slutty slut shamefull sinner liar of the century
37,37,<user> <user> why do jews constantly have this dead resentful stonefaced look about their faces
38,38,<user> all homosexuals and transsexuals are narcissists
39,39,<user> <user> yeah shiff shumer are jews leading this charade witch hunt
40,40,bitch you out of line why you waste my time i am trying to smoke trying to get high see it in my eyes i know she playin both sides that bitch tellin lies
41,41,huh the gays really can ’ t drive
42,42,<user> i hope ice arrest illegal immigrants and their sponsors
43,43,<user> i dont give a fuck how muslims feel 😃 👌 🏻
44,44,<user> <user> at all shit is trash niggas retarded
45,45,trump is big faggot
46,46,<user> oh i know they are i am not an idiot i am not arguing for judeo christian bullshit that worse than islam
47,47,really slut cool bitch and followed my boyfriend for what wanna fuck with him
48,48,<user> <user> thoughts on ralph being a kike
49,49,<user> <user> just stand up retard
50,50,<user> even their fellow asians hate them 😂 😂 😂 😂 😂 😂
51,51,<user> actually white people are dating back to <number> shit probably even before that you all feel so entitled to everything when you all literally just bring disease and attitude with you everywhere you do white people have been annoying since the beginning of time
52,52,<user> bad breath uneducated dark circles looking like jafar from aladdin when they smile 🤮 🤮 🤮 whew the ghetto
53,53,when you get m ’ niggas hate you the most
54,54,wishing for a white wignat christmas 🎄
55,55,rough looking niggas pretty boys
56,56,kuz i know a bitch can be some where suckin a dick
57,57,u white devil
58,58,lmao niggas ruin literally everything
59,59,<user> <user> small words from a small man but just the type of faggot ass response i d expect from the nasa is cgi crowd
60,60,<user> <user> the dregs of islamic state should be tried in syria and jailed
61,61,<user> i hate you
62,62,<user> <user> love this faggot slutty voice
63,63,<user> nigga read it again my following going down cause niggas gettin susd not my followers retard 😹 👎 🏽
64,64,withoutwomenmenwould men would actually be able to be functioning human beings without being accused of misogyny by a feminazi
65,65,if the jury is fucked up over that white whore retarded cop in texas then they need to get common sense they are spending too much time on the life of a worthless hoe that did not give a damn about jean life fuck that hoe to death hell
66,66,bitches be so mad over some shit they cant control
67,67,late nite shower felt risky towel on my head call me towel head
68,68,why are men actually retarded
69,69,<user> fuck islam or any religion that restricts such basic entertainment
70,70,<user> who gives a damn what this loser does he ’ ll always be a loser justvkike his father
71,71,<user> that why crores voted for <user> to have all illegal muslim immigrants thrown out is not that what we do with weed in a beautiful garden
72,72,<user> <user> um akshually star trek were the space commies and star wars jedis are just space jews
73,73,<user> right you play ps4 you faggot
74,74,<user> weaponizing sex evidently the only power women have cause thoughtful debate logic and voting is so <number>
75,75,<user> ching chong oil 🤧
76,76,gonna be honest there are alot of retarded mother fuckers i absolutely hate
77,77,anyone else think homophobes deserve to be beaten w a pillowcase that contains numerous bars of soap
78,78,<user> i do not understand what bad about saying that kids with towels around their heads like turbans look like people who wear turbans is it just bad cause racist assholes use the word towelhead to talk about people wearing turbans
79,79,niggas fucking off but want they bitch perfect
80,80,my mom be like kill yourself bitch me do not temp me with a good time hoe
81,81,<user> you do know the nigger family skit had white people in it chappelle used the word for a skit he not walking around calling everybody faggots my iq understands that much
82,82,<user> the jews faked the moon landing
83,83,<user> does american people include all the illegal immigrants
84,84,<user> r u retarded i graduated that ’ me on the screen
85,85,having bd drama is so ghetto like just leave me and my child alone weird ass bitch
86,86,<user> tbh i am so happy cause bitch done lost her stylus months ago and that shit be too expensive 💀 💀 💀
87,87,how many muslims you will kill we believe in real after life justicefornewzealandmuslims
88,88,<user> show me the black muslims bc im calling bs on this and you should too
89,89,<user> those refugees can suck it and if they do not like it then go back to where they came from
90,90,niggas be fucking dykes talmbout yea she lemme kill that meanwhile she hit that nigga with the strap no ammo 🤣 🤣
91,91,gentle reminder that game journalists are boot licking retards all of them
92,92,<user> she wanted some of that nigger d
93,93,bad white bitch wanna hit my keys 🔥 <user>
94,94,i guess it really doesn ’ t matter what sign or what placements a man has they all retarded 😕
95,95,<user> you using big words im mentally retarded 💀 jk jk
96,96,<user> god i hate you if we were married i d commit domestic violence on you
97,97,<user> as per your own words you should go kill yourself
98,98,<user> uk is becoming a nazi state 👎 👎 👎 👎 👎 👎
99,99,<user> less immigrants more houses to chose from lower prices open your eyes duetcheland
100,100,<user> only white ppl fall for that shit
101,101,<user> yeah and today <number> illegal aliens were released in texas
102,102,<user> more white trailer trash trump supporters
