,ID,Tweet
0,0,<user> besudes guilt saviour complex among whites has reached such an alarming level that they want to save indian girls from being raped when the rate of sexual assault in their own countries is significantly higher
1,1,<user> <user> all white men do is lie and colonize nothing else
2,2,<user> i hate you
3,3,maybe ban the nazis before u wanna worry about me tweeting something for the thousandth time
4,4,this weather for jadakiss dykes
5,5,why don ’ t we make a separate country for illegal aliens and call it mexico
6,6,<user> ❝ i hate you so fucking much max you better not talk about this with anyone ❞
7,7,still thinking bout how camila was on x factor calling 5 h her sisters but in facebook making fun of the other girls with her friend calling them niggers i will dsl her clown nose 🤡
8,8,all these niggas is parrots
9,9,breona that my dyke 🤣
10,10,<user> <user> <user> <user> <user> <user> if he not lazy why is he butt hurt americans are lazy compared to african countries that fact is not nearly enough reason for me not want them here african immigrants are not the enemy white supremacy is
11,11,get a load of that nigger
12,12,<user> modi is the pm of whole of india he went to chennai and fucked all niggers all you could do was tweet gobackmodi
13,13,<user> <user> <user> issue why write a do gooder illegal immigrant fraudulently in the country fleeing death and persecution and not one who raped little girls or murdered a child by dismemberment because that scenario does not fit <user> narrative change the law
14,14,prolly heard im a hoe from a hoe
15,15,<user> <user> most of their jokes revolve around the concept of finding new ways to detail a fictitious account of each others mother prostitute life who is a faggot and who is weak if he not willing to join in
16,16,i don ’ t like any bitch that says he him lesbians aren ’ t valid
17,17,<user> they are illegal immigrants not asylum seekers
18,18,<user> <user> the police union and this rag head woman has the nerve to get angry with him for calling out that racist cop
19,19,<user> to late evil comes only in trojan horse as islam
20,20,<user> lol new york is a joke now 😂 😂 😂 yeah illegal aliens from all around the world should go back to their countries what is wrong with that
21,21,<user> <user> niggers do not get counted
22,22,<user> why d they all isra a muzzie
23,23,<user> well if she wants sharia law she ’ going to reignite the war of muslim law against america
24,24,lol <number> for a desk and <number> for shipping please fuck off i hate you
25,25,<user> <user> ching chong ching
26,26,the dyke wants her kpop boy
27,27,<user> i hate you
28,28,imagine thinking that <user> is a homophobe because he said faggot once lmao could not be me
29,29,ya niggas made amiri look dirty ya make everything dirty i hate you dirty mother fuckers ya make luxury items look dirty stick to white tees
30,30,antifa are the real nazis man
31,31,<number> year old white het boys are the worst breed all they do is recycle their same old holocaust racist sexist and homophobic jokes to hide their insecurities i got news for you buddy it not working
32,32,i am not saying nigger because i am racist i am saying it to take a stand against pc and fight for freedom of speech white dude comedians
33,33,<user> <user> drag this nigger for filth honey
34,34,every women i have been with was inserted in my life to teach me something it seems
35,35,young hennessy bitch can not versace niggers
36,36,<user> lmao im finna b a dyke <number>
37,37,some women diet for <number> weeks then they cheat kill the haters by loving and forgiven them
38,38,<user> white claw white devil
39,39,<user> i hate you
40,40,<user> what matters to me my white sons who live in fear of every rabid feminazi in our country who wish ill upon them even though they did nothing to deserve it my sons matter
41,41,this mf on this movie just said what do we call her the lezbo the gay girl the dyke mother fucker how bout her name
42,42,lmaoaoao these niggas are strags
43,43,my homie medicine hoe no versace this nigger
44,44,you niggas do your friends so dirty but leave your enemies unscathed
45,45,<user> i am reminded of the end to the f the police song the jury has found you guilty of being a redneck white bread chickens hit motherfucker
46,46,niggas want discounts for en haut but pay full price for a white man brand 🤬
47,47,<user> <user> <user> i swear the word crackhead is normally used towards white trash
48,48,<user> <user> my area pensioners saja pun ada liquor store 🤷 ‍ ♀ ️ 🤦 ‍ ♀ ️ dahla rata2 pious taoists buddhists christians muslims
49,49,i am not your devil you are zealots and nazis burn the christian air force
50,50,<user> <user> funny if i say something about a civil war twitter block me and now this white shit trump say something about a civil war twitter do not block him 😂 😂 😂 😂 😂 😂 i do hope for a civil war kill all the people from twitter first
51,51,a chinaman he forced to sell we got it for pennies on the dollar b noir detour
52,52,this was the worst thing you could have done to me and i hate you for it
53,53,<user> <user> you sound like you are reading from a neonazi playbook
54,54,<user> swedish men are the biggest cowards on earh after german men imagine knowing your cowardice caused literally every woman and girl to be raped by savages with an iq of <number> 🤮 how they get out of bed in the morning is amazing
55,55,greeks will become a shrinking minority within their own country those who refuse to convert to islam will be despised and abused those who do convert will stop being greek greece will be lost
56,56,<user> deniro is such white trash • truly •
57,57,<user> sorty rag head we dont impeach because u dont like election results u want change do it at the ballot box now onur knees to king trump <number>
58,58,<user> the bravest chinaman i know is <user>
59,59,<user> <user> i hate you 😭 😭 😭 😭 💀
60,60,this quarterback is shitting his pants who is this nigger du kvs vt
61,61,niggas is faggots bidding like that if u ask me
62,62,<user> idk but i know the holocaust is some yellow head with a simple smiley on it
63,63,i do not even wanna be a faggot anymore queer eye ruined it for us all
64,64,<user> racist cops only exist in the us look at them beating up those poor people of colour who dindu nuffin they were just trying to get to chik fil a before the sandwiches sold out
65,65,i fucking hate my aunt 🤣 she thought the <user> commercial said “ arby ’ we have the meat sweats ” 😭 😭 🤣 🤣
66,66,<user> <user> if even one american is killed in chicago by an illegal alien that <user> is protecting that family should sue her into homelessness
67,67,<user> <user> south africa is dealing with <number> pandemic covid <number> and illegal immigrants
68,68,<user> my bad comparing the great ian curtis to some porch monkey is sac religious damn i miss his songwriting
69,69,don ’ t forget to make dua for muslims who don ’ t have anyone to spend eid with
70,70,<user> hate you
71,71,<user> <user> <user> honey asexual people aint the only one that can be sex repulsed asexual people aint the only people who can feel uncomfortable with sex chat some of us are dykes with the good old catholic guilt
72,72,1 h de retard au work shessh
73,73,<user> must be noted chinaman satanist lee hsien loong refuses to respond to all accusations against him and reference to his satanic criminals singapore parliament singapore supreme court and singapore agc have also kept silent since my first twitter account in <number>
74,74,<user> <user> <user> really you are going to go there looking like the millennial grandson of the hillbilly who raped ned beaty in deliverance
75,75,all my bitches gay do that make me a dyke
76,76,<user> lmfao fucking hate you nigga
77,77,<user> what dick faggot judging by how fat your forehead is i bet your tiny little dick has not emerged from beneath your gut in years bet your juevos rotted off too if you are out here begging for oral from someone who fucking hates you
78,78,<user> <user> ok i admit the tractor looks like a muzzie nuni rest all 😍
