,ID,Tweet
0,0,<user> <user> there shd be a film called no hindus in kashmir wud be perfect islamic fanaticsm movement in kashmir
1,1,caucasians wearing masks to prevent coronavirus and still don ’ t wash their hands
2,2,why don ’ t white boys with curly hair comb it looks like a bird ’ nest
3,3,blow a stack for yo niggas with yo trapping ass
4,4,<user> yes they put fear in black people jews and even white civil rights workers and they deny the holocaust ever happened
5,5,they playing a lot of ethnic music at this white ass wedding
6,6,<user> i think immigrants should replace people like you
7,7,im literally not a zionist but dear lord how hard is it to just recognize that people just genuinely despise jews
8,8,<user> humor negro 😂 😂 😂 😂 😂
9,9,i am confused how a president blocked stimulus checks for those who married to immigrants while he himself married to an immigrant
10,10,<user> tell us first who are these white supremacists how do we know that you are not one of them
11,11,two bros chillin in a hot tub five feet apart cus they are not gay
12,12,<user> that ’ pretty gay bro
13,13,<user> yeah there all nazis
14,14,btw can i just say voting in washington is a fucking dream every state should do this
15,15,<user> they robbed them while serving looks too and they robbed the brooklyn museum tbh more shows should be about queer people stealing from white cishet institutions
16,16,wait other single people exist you mean not every gay person is taken 😱
17,17,<user> soo like is she a nazi
18,18,wishing the happiest birthday to my favorite crackhead <user> love u bitch
19,19,<user> idubbz says nigger faggot all the time but no one actually gives him shit for it lol people are stupid as fuck
20,20,do not blow your horn at me cuz you can not drive bitch
21,21,<user> <user> how many die every day especially the weekends in chicago douche and your crying about el paso if someone carried the death count would have been lower like dayton moron sheep for women i would not vote for one feminazi not one
22,22,<user> what are you a nazi
23,23,<user> they found the violent nazis organizing the riots
24,24,red velvet got called black old and homophobic all by their own fandom i can ’ t 😭
25,25,this movie is ghetto
26,26,<user> <user> <user> it was way better than sonoma if you remember your redneck jesus won the glenn also
27,27,<user> <user> he ’ gay himself
28,28,<user> these hoes ain t shit bro u cute as hell
29,29,<user> he is not a news anchor he is a suck up to d trump maybe even secret gay lovers
30,30,<user> <user> maybe sturgeon will offer her a room at her house along with the syrians refugees
31,31,<user> rules are rules leave the ghetto at the door when you walk in
32,32,having a car too much work i am tired of gas changing the oil need new brakes and now tires this is ghetto
33,33,put pressure on a nigga he gone run to a weak bitch everytime ‼️ 🤮
34,34,<user> thank you finally a white person stating facts
35,35,<user> your such an ass 😂 i ’ m damn near retarded 🤦 🏻 ‍ ♂ ️ i love you 🤣 🥰
36,36,<user> i wll bet in that <number> percent names in that list would be muslims
37,37,yall voted dyke shorts kyle lowry over derrick rose whoever voted for lowry should be ashamed
38,38,<user> obama catch and release is an abomination on america obama should be held responsible for every american who is raped and killed by illegals
39,39,<user> <user> i ain ’ t from br and i know this bitch word for word 😂
40,40,<user> <user> <user> <user> they never said this help would include being ass raped by jimmy savile while the matrons watch -.-
41,41,<user> <user> <user> <user> <user> a man of straw antifa have never killed everyone the far right white supremacist are major terrorist threats
42,42,y ’ all got all the hoes
43,43,you all be wanting a real bitch then do not know what to do wit her ✌ 🏽
44,44,<user> i love dykes fr
45,45,of course his white ass dropped it
46,46,before anyone passes judgement i wanna let it be known that im <percent> trailer trash
47,47,hoe you can not touch this
48,48,you can be ghetto and not be ratchet i ’ m ghetto for sure but fighting all the time is ugly
49,49,<user> <user> because in <number> the republican party is a clown car full of white nationalists and conspiracy crackpots who are easily exploited by fox news and hordes of supplement selling grifters funded by billionaires who will not rest until they are trillionaires and the rest of us are slaves
50,50,can put your money on the retard commentator saying after <number> seconds west brom have made a better start than they did in this fixture last season
51,51,<user> <user> muslim have <number> muslim country why they not taking refugee from bangladesh in there country why muslim refugee just want to come in europe india and america
52,52,<user> <user> why does the little nazi have a blue checkmark
53,53,i am an ashkenazi jew
54,54,whoever is having sex rn have some for me to 😂 lucky bastards
55,55,i love the muslim unity amongst islamic nations how come they did not take in even one muslim refugee 🤔
56,56,so tired of all this gay shit
57,57,use coupon code “ holocaust denial ” for <number> odd at checkout
58,58,<user> ha this coming from a two time loser not to mention that she one of the if not the most corrupt person politician the usa has ever had she fails to mention that her popular win were from the illegal alien votes
59,59,<user> muslims voted for <user> bjp team b and got the government they deserve
60,60,top quotes from tonight include <user> saying they are a slytherin and proud because they are fucking queer 🐍 also gryffindor is so heteronormative and basic it for people who have the personality of bread and courage 🍞 🦁 bam ein publishing <user>
