,ID,Type,Tweet
0,0,NormalNormalNormal,<user> <user> stacey dash commits black on white violence against her white husband
1,1,NormalNormalNormal,he said you can do that where them white people be at not here milestone
2,2,NormalNormalNormal,<user> <user> have you heard steve king comments and retwitting neo nazi bs
3,3,NormalNormalNormal,<user> <user> who was so atrocious that even nazis feared them the red army
4,4,NormalNormalNormal,go fucking kill yourself $trx is so much better than $bnb
5,5,NormalNormalNormal,tottenham losing at hoe me 😂 😂 😂 champions league
6,6,NormalNormalNormal,<user> <user> ahh they did this last time to but the white person in front smh
7,7,NormalNormalNormal,<user> so did the nazis
8,8,NormalNormalNormal,no to boys only gays
9,9,NormalNormalNormal,that nigga steal if he drive an impala with no hubcaps
10,10,NormalNormalNormal,<user> translated directly blackfoots means white algerian descendants of immigrants
11,11,NormalNormalNormal,also the conflation of immigrants with minorities is misguided it something the right does that the left should avoid
12,12,NormalNormalNormal,gay scrotum fly away and toms a nonce
13,13,NormalNormalNormal,<user> i fucking hate you 😂
14,14,NormalNormalNormal,<number> liners are old oredi bitches we old old dumb
15,15,NormalNormalNormal,<user> <user> hi mr lebron can i ask for a shoe
16,16,NormalNormalNormal,taeyong keeping that black hair
17,17,NormalNormalNormal,if a bitch wear white socks w black shoes vice versa they cant dress automatically eliminated that so tacky
18,18,NormalNormalNormal,and aye if the shoe fits 🤧
19,19,NormalNormalNormal,ellen page plays a lesbian suffragette in what the sunday times are calling the best queer film since happy together
20,20,NormalNormalNormal,having long ass eyelashes is a fucking curse i get at least one in my eye every damn day
21,21,NormalNormalNormal,<user> i just saw your ghetto gaggers video why did you change your name from harmony rose 😔
22,22,NormalNormalNormal,<user> <user> why does lindsey tweet he posts something dumb and then gets dragged
23,23,NormalNormalNormal,i might stream we know the devil
24,24,NormalNormalNormal,<user> bro pls dont kill yourself bro pls
25,25,NormalNormalHate,wgl czy hobby to making me fill like a retarded psychopath because it working
26,26,NormalNormalHate,<user> <user> but if you kill yourself you ’ ll never know if the dick was good ☹ ️
27,27,NormalNormalHate,nigga retard an faggot <number> words that will get people angry they are words get over it
28,28,NormalNormalHate,trailer trash white people are embarassing as hell
29,29,NormalNormalHate,dykes has joined og for the first time <user>
30,30,NormalNormalHate,all these niggas is parrots
31,31,NormalNormalHate,<user> i hate you
32,32,NormalNormalHate,<user> kids hate you same shit
33,33,NormalNormalHate,<user> real nigga ong 😪
34,34,NormalNormalHate,<user> ❝ i hate you so fucking much max you better not talk about this with anyone ❞
35,35,NormalNormalHate,breona that my dyke 🤣
36,36,NormalNormalHate,if you dump me because i cut my hair you are a bitch
37,37,NormalNormalHate,<user> its probably indonesian malaysian muslims who retweeted it
38,38,NormalNormalHate,maybe ban the nazis before u wanna worry about me tweeting something for the thousandth time
39,39,NormalNormalHate,<user> why eat hot pockets when you can eat ass preferably nigger ass 👍
40,40,NormalNormalHate,<user> no piss off i hate you
41,41,NormalNormalHate,<user> i hate you
42,42,NormalNormalHate,<user> my bad comparing the great ian curtis to some porch monkey is sac religious damn i miss his songwriting
43,43,NormalNormalHate,chloe start a lesbian era i dare you
44,44,NormalNormalHate,<user> the amount of times i tweeted faggot uncensored i am still here shit kinda of wild 💀
45,45,NormalNormalHate,<user> young boy ain t nigger music it nigga music
46,46,NormalNormalHate,<user> white claw white devil
47,47,NormalNormalHate,<user> <user> i hate you
48,48,NormalNormalHate,<user> lmao im finna b a dyke <number>
49,49,NormalNormalHate,why niggas worry bout me when i do not even checc on them faggots
50,50,NormalHateHate,<user> <number> americans dead because of an illegal immigrant this is infuriating enforce our laws deport them
51,51,NormalHateHate,<user> how many zionist jews die
52,52,NormalHateHate,some girls going around exposing ppl aib beh kene sikit nk ching chong lebih haha
53,53,NormalHateHate,but i am just not even entertaining stupid nigger logic anymore today lmaoo
54,54,NormalHateHate,<user> <user> <user> atleast ur country is secular pakistan is a muslim country nd they produces terrorists
55,55,NormalHateHate,<user> <user> you can also decide not to like the niggeress too 🤷 🏽 ‍ ♀️
56,56,NormalHateHate,<user> <user> <user> i d kill all the niggers aii lmao good luck with that
57,57,NormalHateHate,<user> <user> check out the hook nose on flake
58,58,NormalHateHate,skrt skrt skrt sirop stripper pole fuck with us this nigger forever
59,59,NormalHateHate,<user> i hate you 😂 💀 💀 💀 💀 😭 😭 😭
60,60,NormalHateHate,is it ok for white people to use the word nigger
61,61,NormalHateHate,duh kpop stans fetishize asians but its rly disturbing every time i see it blerghb
62,62,NormalHateHate,<user> supporting terrorists wont get you anywhere so stop playing victim muzzie game
63,63,NormalHateHate,i did not expect something kike that holy shit i t looks so good
64,64,NormalHateHate,<user> will a porch monkey banana suffice
65,65,NormalHateHate,niggers whom st release seminal fluid
66,66,NormalHateHate,this nigger just saved the uk
67,67,NormalHateHate,<user> netflix will you be releasing a homosexual movie about profit mohammad just in time for eid just wondering
68,68,NormalHateHate,plot twist this niggers been alive the whole time 🤨
69,69,NormalHateHate,<user> holocaust is a big lie there is no evidence about that holocaust_big_lie
70,70,NormalHateHate,towel head ass
71,71,NormalHateHate,stg i fucking hate white girls yo
72,72,NormalHateHate,<user> <user> another pakistani jihadi hiding behind a fake name
73,73,NormalHateHate,niki is a faggot i love them
74,74,NormalHateHate,fuck them white kids
75,75,HateHateHate,<user> stupid nigger kill yourself
76,76,HateHateHate,<user> we need all muslims removed from power before they destroy us all
77,77,HateHateHate,<user> <user> get this nigger out of here
78,78,HateHateHate,<user> the trump woman must be raped 😠 😠 😠 😠 💩 💩 💩 💩
79,79,HateHateHate,<user> <user> lmao larry are you a nigger
80,80,HateHateHate,what day all you all niggers going to albany fuck it i am there
81,81,HateHateHate,<user> get off my twitter feed you towel head go milk a goat or something
82,82,HateHateHate,god of israel is a faggot he a joke
83,83,HateHateHate,fuck you bitch ass niggers
84,84,HateHateHate,i cant fckn stand the towelhead
85,85,HateHateHate,i know i say this a lot but i really hate you niggas bro like
86,86,HateHateHate,lol i lost i cant come up with a better insult than faggot
87,87,HateHateHate,how to keep people out the lab play nigger music over the lab speaker
88,88,HateHateHate,i am watching the hulu fyre doc and i am jarule is a true nigger coon
89,89,HateHateHate,<user> you fucking nigger
90,90,HateHateHate,saints please go get a white qb this week anybody better than that nigger teddy
