,ID,Tweet
0,0,if english is not imposition then hindi is also not imposition shut up chutiya retards stophindiimposition
1,1,no liberal congratulated hindu refugees post cab because they hate hindus
2,2,he said bro even your texts sound redneck whatever the fuck that means 😂 🤷 🏻 ‍ ♂️ <user>
3,3,hindu army ’ disrespecting islam now 🙄 acting like your countries don ’ t mass murder them on a bi yearly basis stfu
4,4,<user> agree with ananya baby every hindu muslim sikh isai should travel in economy class sonam kapoor
5,5,subtly homophobic news story this child is gay twitter influencer who still shits himself thoughts 😳 🤔 mike pence himself i like gays and even have a faggot friend but this is too much
6,6,stumptown is a shit show the writers are retarded the story is boring it is a total waste of its fantastic cast
7,7,your the biggest faggot if you do not like sports
8,8,birds of prey listening to margot robbie talk like a retarded white girl who thinks she can drop the n word any time she wants for <number> hours hard pass
9,9,<user> cus yall some faggots 🤮
10,10,<user> nope the gays do
11,11,<user> whatchu are <user> is a self hating homosexual who has to pay for your homosexual desires
12,12,<user> <user> <user> what mother fucker your white ass think his black ass playing with your white asses wigger please he dead ass that a no go my ass would cancel that show just to be safe and protect everyone asses in that town <user> out here saving lives
13,13,yepper another day with stupid yeah threaten eu with tariffs piss everyone off and turn u into a shithole country
14,14,love one of you bucket headed hoes no way
15,15,nigga melly said “ i get a ssi check i ’ m retarded fr ” 🤣
16,16,<user> i am clearly a fucking retard
17,17,<user> <user> islam makes all the fun stuff in life forbidden haram it sucks 😒
18,18,<user> lying atheistic communist jews are hurting the image of my people shanda
19,19,u can rent a hoe but u can not buy a bitch
20,20,funfact genghis khan killed more people than the holocaust did
21,21,my laptop freeze after freeze the ghetto 😷
22,22,bitches and hoes they do not exist why the hoes know bo a feminist
23,23,would not dap you with the left hoe
24,24,you fake ass bitches want the realest friends 🐍 🐍
25,25,<user> <user> the rest of the world thinks you ’ re a racist homophobic sex criminal
26,26,<user> i wish that i felt that way you are a better person i am so angry that he is in that historic place and what it means to most americans i will i can think of is white trash does not belong there
27,27,<user> <user> they are saying islam mental illness
28,28,any dirty wife sluts want to have some fun share pics and just do crazy shit
29,29,supa wanna be a dyke so bad lmfao
30,30,oh hey anon i heard both your lungs collapsed haha that crazy well tanner bought some ribbed magnum condoms so we are gonna go try those out see you in hell anon you fucking incel faggot
31,31,<user> false you are the only actual faggot i know that will touch men in such a way
32,32,whoever rtd that yuta opening a dyke salon tweet onto my timeline just know op is actually lesbophobic lol
33,33,thank god islam has made circumcision obligatory have you seen uncircumcised dicks they are the most ugly looking things 😷
34,34,mind your mufuckin business for i hurt a bitch feelings today please ‼️
35,35,what kind of asian are you idk bby hut something between abg and white washed
36,36,bitch get off my shit fag i am a dom bitch not a fag
37,37,lmaoaao bitch stop trying to be relevant and move tf on hoe
38,38,u wanna be a gay sad faggot or u wanna be dope and sweet
39,39,is it bad that when a woman curve me i assum she a lesbian or a retard
40,40,yoongi is ew have u seen him r u retarded u stupid bitch i only care abt jikook bitch tf i may be a taekooker but atleast i love and appreciate all of them and their ships u dumb excuse of a fan
41,41,<user> can you imagine the media and public outrage if that had instead been some white trailer trash harassing people going to a pride parade or to a climate change strike i guess the alt left only believes in diversity and tolerance when it comes to their causes
42,42,ariana this girl been stealing my songs man wtf everglow and stop being stingy bitch
43,43,un*merce <censored> is just another white bitch trying to look as black as possible
44,44,niggas be acting like bitches
45,45,yo man not a “ hood nigga ” he just live in the ghetto
46,46,ur mom gay
47,47,<user> <user> i can ’ t even lmao how dumb and retarded are you irl
48,48,i love picking up annoying retarded habits that i think are funny
49,49,only in a sprite commercial can black people look retarded dancing
50,50,wea df all you saints fans come from 😒 go back to yo faggot ass cowbitches saints won 🤪 🤪 ⚜️ ⚜️ ⚜️ like bitch who are you 😭
51,51,<user> lol fuck you too
52,52,<user> and you are proving your ignorance more and more like i said i am done arguing with a ass scratching finger sniffing redneck do a little research and then we will talk
53,53,it was then that gay retard world revealed itself to me
54,54,<user> yea u ’ d be retarded go to werk guy
55,55,<user> ok buddy retard
56,56,<user> did not finish i found the quiz retarded
