,ID,Tweet
0,0,nigger faggot retard beaner dishwasher time to see if i get ban
1,1,this nigger calling me juicy lips over the phone wtf
2,2,<user> you need potassium eat a banana you fucking nigger
3,3,it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay
4,4,bitch you white nigga is a faggot your kids are demon possessed over blk ppl your pussy is worthless you are a whore you and ur household all suck the same dick you are jealous of innocent blk ppl you are a squatter in blk neighborhoods you are jealous of jesus ur disgusting
5,5,you all faggot ads niggas keep trying to sabotage my work b bitch ass poppies and jehovah witnesses do not control what i make fuck your mother fuck abc news too and the bitch ads tech assholes
6,6,i hate these faggots 🤷 🏾 ‍ ♂️
7,7,i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers
8,8,i want to jimmy kimmel to do one of those ate kids halloween candy videos but instead of halloween candy challenge suburban white parents to call <number> black kids that knock on their door niggers
9,9,everyone wants to be nct everyone the entirety of kpop if they dont wanna be niggers they wanna be nct
10,10,u niggers r coonin for that kanye shit
11,11,ok it ain t just me <number> out here hunting niggers on god they tweakin this month
12,12,amber rose new bd look like a dyke 😭
13,13,<user> <user> shut up nigger
14,14,i ’ ve had enough of uwu kweers faggots and d*kes <censored> amp transgenders lemme year you make some fucking noise
15,15,<user> muslims just simply should not be in the world
16,16,<user> <user> wait wait you dumb nigger
17,17,<number> sacks <number> fucking goddamn sacks are you fucking kidding me you fat retarded mongoloids better protect that goddamn soulless ginger jesus fucking christ <user> get your shit together
18,18,i am not the majical hefer that can save sucker boys from being chimp niggers they desperately search for titties to latch on to here a solution call me crazy stop being a sucker
19,19,bad drunk dick in her throat skrt skrt this nigger
20,20,big drunk lean no guns shootin this nigger
21,21,can you believe this brokedy broke nigger was over here with a white bitch in the park kissing seriously the white bitch more fucked up then the niggers are is not that like raping the handicapped seriously why would a white bitch choose a nigger <number> she be retarded drugged to
22,22,<user> dammit man get this ching chong shit off my feed
23,23,just attacked one of them faggots feelin pretty good
24,24,imma start blocking anybody that post that lil ugly dyke haitian boy on the tl it disturbing af
25,25,i do not like how the faget usa that stole my chileans trillions die in one week planet and inventions trying to kill me uses faget ass police to harass everyone to make they r whole country a murderous asshole faggot your country can go f its face
26,26,<user> <user> agreed lucie they are not refugees socioeconomic parasites at best islamists and sex attackers at worst
27,27,on god ion like white women niggers move
28,28,<user> she was screaming nigger and that she wish she could kill all the niggers in public at a cvs bitch
29,29,<user> i liked kill the jews with thumbs up better
30,30,<user> <user> tell that to trayvon or any other dumb nigger that got shot beating ontop of a cop theres more bodycam footage to disprove your theory than your brain could comprehend
31,31,we need to start punching arabs for saying the n word
32,32,<user> happy birthday to one of the greatest muzzrat slayer may mahadev bless you and may you keep kicking these muzzrats n com rats in debate sir 🙌 🙌 🙌 🚩 🚩 🚩 🚩 🚩 jai mahishmati ✊ ✊
33,33,wakanda forever niggers <user>
34,34,whom st the biggest nut niggers whom st release seminal fluid
35,35,<user> i will call my friends and we go fuck up that nigger
36,36,just seen somebody eating a honeybun with cheese on it im getting real tired of you niggers
37,37,anyway one of my lecturers is biased against negro students the caucasians all have <number> percents and the niggers are struggling el oh el
38,38,<user> <user> this is why no one likes ugly faggots out of my sight you roach
39,39,<user> your gf does and wtf would i lie that ching chong is giving u her stuffs
40,40,i know i say this a lot but i really hate you niggas bro like
41,41,<user> those niggers get paid
42,42,<user> i wonder how all the victims of islamic terrorisms would feel knowing that there a camel jockey in the government
43,43,<user> y are you talking to me shut the fuck up you stupid fucking nigger
44,44,i fucking hate fags
45,45,spraying a shopping cart worth of aerosol cans in the air to own the faggots
46,46,fucking ulgly ass bitch ass stinky ass bitch ass nigger slave nigger teacher faggot peace of shit suck a dick
47,47,<user> anyone i see with a pixie cut or a half shaved thing at work i call dykes they are always the customers bitching at work and wanting to speak to a manager whenever we see one it here comes a karen jajajaja 🤣 🤣 the ones con bad multi color hair of
48,48,so they are allowed to be racist against us white british but we can not say nigger wog fukin hell if they do not want to here it the best thing they can do is piss off back we are they came from
49,49,you all niggers are cancers
50,50,what day all you all niggers going to albany fuck it i am there
51,51,niggas really let idubbz say nigger faggot and ain t even care
52,52,get your fucking dirty nigger ass out of here nigger
53,53,<user> let us not forget that pakistan is a islamist sharia country that supports terrorist groups around the world so they do in india in fact if muslim invaders would not have raped india that shitty nuke state would not even exist
54,54,mud people are the source of this climate change bull shit fuck the muddy gad damn negro fucking chocolate lookin ass nigars
55,55,<user> fuck em let them towel heads burn
56,56,<user> <user> and your muslim you dumb towel head camel jockey genital mutilated whore
57,57,god of israel is a faggot he a joke
58,58,<user> fuck these niggers up
59,59,i do not pay attention to you niggers anyway
60,60,fuck all you gay bitches that are gonna buy the codename elf bundle kys niggers
61,61,i just read an instagram caption that said nothing like a monday morning send with the squad i fucking hate white people
62,62,you all i can not even make this up but my damn netflix got hacked by some fuckin raghead i am pissed
63,63,what a fucking nigger
64,64,lmao fuck you niggers
65,65,niggers be like a cocc
66,66,wow do not all speak at once niggers
67,67,every time <user> bitch ass say the democrats all i hear is the niggers
68,68,<user> but to have someone called singh make a towel head comment on national tv is next level
69,69,<user> more good news a swede last name ends in son running in minnesota 5 th congr district against current radical towelhead who has had the seat bet the farm
70,70,ugh i hate dykes 😐
71,71,<user> i dont want your stupid nigger money
72,72,i should have let an old man white man work on my car from the beginning instead of letting these niggers and spics play under my hood
73,73,<user> shut up ching chong
74,74,<user> hahaha and that nigger has someone thinking they should fight for him what a god 😂 😂 😂 😂
75,75,those faggots off queer eye hate jews
76,76,lol i lost i cant come up with a better insult than faggot
77,77,i hate black people you tell a nigger not to do something and they go on and do it niggerantics
78,78,this fat faggot id such a child grow up porky
79,79,<user> grandparents are quite a drain on the budget kill all grandparents
80,80,<user> <user> keep that same energy behind bars you stupid nigger
81,81,<user> <user> hi i hate asians
82,82,i wish the holocaust actually killed <number> million jews that would have been awesome
83,83,or do they assume the niggers do not have the funds for that
84,84,made a priv so i can call players niggers
85,85,not a damn soul bigoted conservative muzzies with no concept of human rights mee baeh muslim dhivehinge khaalath varah dhera ingeythoww 🥵
86,86,im gonna eat every nonlesbian who says dyke fully knowing they should not i feed on stupid little bitches
87,87,<user> dead jews got me feeling cute might seig heil later idk
88,88,<user> camel fucking arabs
89,89,<user> the day you people stop believing in that shit religion made up by some goatfucker who smoked crack in a cave in the 5 th century
90,90,rosie o ching chong wing wong i hate chinks donnell
91,91,ew those faggot creeps
92,92,<user> to hell with your man white devil
93,93,kill all the boomers
94,94,<user> cof fucking nigger cof
95,95,real nigger shit
96,96,civil war long as i do not have to live in your new republic populated by racist hillbillies and illiterate white trash nascar fucks i will change my own oil
97,97,<user> you fucking nigger
98,98,the person below is a nigger
99,99,<user> <user> do not be stupid while hindus sikh and christian are coming here in india for saving there life the muslim are just illegal immigrants sucking our tax money
100,100,you niggers blow my mind
101,101,<user> <user> ching chong you are wrong
102,102,niggas out here fucking dykes 😭
103,103,<user> we need all muslims removed from power before they destroy us all
