tweetId,strategyId,annotationId,fluency,informativeness,persuasiveness,soundness,hatefulness,hateLabel,consistentHateLabel
1,1,1,-1,-1,-1,-1,1,hateful,hateful
1,1,3,-1,-1,-1,-1,4,hateful,hateful
1,1,2,-1,-1,-1,-1,4,hateful,hateful
2,1,3,-1,-1,-1,-1,2,non-hateful,non-hateful
2,1,1,-1,-1,-1,-1,1,non-hateful,non-hateful
2,1,2,-1,-1,-1,-1,4,non-hateful,non-hateful
3,1,1,-1,-1,-1,-1,2,non-hateful,consistent non-hateful
3,1,3,-1,-1,-1,-1,1,non-hateful,consistent non-hateful
3,1,2,-1,-1,-1,-1,1,non-hateful,consistent non-hateful
4,1,1,-1,-1,-1,-1,4,hateful,hateful
4,1,3,-1,-1,-1,-1,5,hateful,hateful
4,1,2,-1,-1,-1,-1,1,hateful,hateful
5,1,3,-1,-1,-1,-1,4,hateful,consistent hateful
5,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
5,1,2,-1,-1,-1,-1,4,hateful,consistent hateful
6,1,2,-1,-1,-1,-1,4,non-hateful,non-hateful
6,1,1,-1,-1,-1,-1,1,non-hateful,non-hateful
6,1,3,-1,-1,-1,-1,1,non-hateful,non-hateful
7,1,2,-1,-1,-1,-1,2,non-hateful,non-hateful
7,1,1,-1,-1,-1,-1,1,non-hateful,non-hateful
7,1,3,-1,-1,-1,-1,4,non-hateful,non-hateful
8,1,1,-1,-1,-1,-1,5,non-hateful,non-hateful
8,1,2,-1,-1,-1,-1,1,non-hateful,non-hateful
8,1,3,-1,-1,-1,-1,1,non-hateful,non-hateful
9,1,1,-1,-1,-1,-1,4,hateful,hateful
9,1,3,-1,-1,-1,-1,3,hateful,hateful
9,1,2,-1,-1,-1,-1,4,hateful,hateful
10,1,1,-1,-1,-1,-1,2,neither,neither
10,1,2,-1,-1,-1,-1,5,neither,neither
10,1,3,-1,-1,-1,-1,3,neither,neither
11,1,1,-1,-1,-1,-1,1,non-hateful,non-hateful
11,1,3,-1,-1,-1,-1,1,non-hateful,non-hateful
11,1,2,-1,-1,-1,-1,4,non-hateful,non-hateful
12,1,1,-1,-1,-1,-1,2,non-hateful,non-hateful
12,1,2,-1,-1,-1,-1,1,non-hateful,non-hateful
12,1,3,-1,-1,-1,-1,5,non-hateful,non-hateful
13,1,2,-1,-1,-1,-1,4,hateful,consistent hateful
13,1,1,-1,-1,-1,-1,4,hateful,consistent hateful
13,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
14,1,1,-1,-1,-1,-1,5,hateful,hateful
