,ID,Type,Tweet,Explanation
0,0,NormalNormalNormal,little dogs always look like they hate you,"

The tweet is making a general observation about how small dogs often seem to have an attitude problem."
1,1,NormalNormalNormal,wmsbg r mordche fried making tenoiyem tonight of his son michoel aron in pupa kidish hall,"

The tweet is about a father making a speech about his son tonight in front of a group of people."
2,2,NormalNormalNormal,mexican women talk good in bed how do mexicans talk,"

The tweet is in reference to the stereotype that Mexican women are good in bed."
3,3,NormalNormalNormal,rt carlosphoenix to p50 fans ariana grande,"

The tweet is in reference to a recent performance by Ariana Grande. Carlosphoenix complimented her performance, saying that she was able to bring the crowd to their feet."
4,4,NormalNormalNormal,real madrid is a fucking joke bro 😂,"

The context of the tweet is that the person thinks that Real Madrid is a joke."
5,5,NormalNormalHate,<user> hate you,"

The tweet is in response to a user who said they hate the person the tweet is from."
6,6,NormalNormalHate,<user> <user> <user> <user> <user> what else we can expect from jihadi terrorist country,"

The tweet is in reference to the recent terrorist attack in Pakistan that killed over 150 people. The user is questioning what else can be expected from a country that is known to be a breeding ground for terrorists."
7,7,NormalNormalHate,vcu got a bunch of potential blacked stars niggers massive out there,"

The context of the tweet is that it is a potential list of upcoming black stars in the music industry."
8,8,NormalNormalHate,after some contemplation i ’ ve decided that i fucking hate drinking alcohol,"

The context of the tweet is that the person hates drinking alcohol."
9,9,NormalNormalHate,<number> million jews died in the holocaust thingswesaybutdontmean,"

The tweet is from a user who appears to be Jewish, and is commenting on the Holocaust."
10,10,NormalHateHate,impression your nigger your scrawny nigger again what a lesbian to keep yourself around for your nigger,"

The tweet is in response to a video in which a woman is seen telling a black man that he is a ""scrawny nigger."" The tweet is from the perspective of someone who is critical of the woman for using that language."
11,11,NormalHateHate,i remember i called this guy a towel head for saying sandn*gger <censored> and he got my acct suspended 😔,"

The tweet appears to be in response to someone else's tweet, in which the original poster called someone a ""towel head"" for using the word ""sandn*gger."" The person who had their account suspended then responds, saying that they were the one who called the other person a towel head, and that they got their account suspended as a result."
12,12,NormalHateHate,my bf hit me but it ok he hits like a faggot real,"

The tweet is from a person who is in an abusive relationship with a man who hits her. She says that it's ""ok"" because he hits like a ""faggot"" - meaning, he doesn't hit her very hard. This is an example of victim blaming and normalizing violence."
13,13,NormalHateHate,too many of you woman turn into retarded ass unstable creatures when you ain t got a nigga,"

The tweet is criticizing women who become ""retarded ass unstable creatures"" when they don't have a man."
14,14,NormalHateHate,some fatass chubby kicked me out of a party <number> being a faggot apparently,"

The tweet is from someone who was kicked out of a party for being ""a faggot apparently."""
15,15,HateHateHate,<user> <user> wait wait you dumb nigger,"

The tweet is from a user who is arguing with another user. The user is calling the other user a ""dumb nigger""."
16,16,HateHateHate,i hate black people you tell a nigger not to do something and they go on and do it niggerantics,"

The tweet is from a user who appears to be angry at black people for what they perceive as their ""niggerantics"" or their tendency to disobey orders."
17,17,HateHateHate,i hate dykes,"

The tweet is in reference to a group of lesbians."
18,18,HateHateHate,<user> but to have someone called singh make a towel head comment on national tv is next level,"

The tweet is referring to an incident where a news anchor made a racist remark about a Sikh man on national television."
19,19,HateHateHate,i wish the holocaust actually killed <number> million jews that would have been awesome,"

The tweet appears to be making a joke about the Holocaust."
