,ID,Tweet
0,0,i ’ ve always wanted to beat up a nigga in front of his child so the child can grow up and remember it forever
1,1,you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu 🖕 🏽 fuckin faggot
2,2,bro i swear to god i fucking hate white girls you little ugly ass maggots
3,3,filthy jet black nigga backstage full of white bitches no i do not sell like macklemore but i have got white privilege
4,4,real niggas only you pussy faggots
5,5,<user> nigger nigger nigger
6,6,fuck you all dykes
7,7,going to start exercising my constitutional right call people dumb faggots in public
8,8,i have not said it enough but fuck white bitches
9,9,a true muslim who follow quran cannot possess humanity
10,10,🎊 🎊 hindu rashtra by midnight 🎉 🎉 one tight slap for fiberals burnol for jihadis and sickulars 🙏 🙏 thank you modi zee 🙏 🙏
11,11,<user> thats honestly retarded and rude ur hating on <number> year old kids ik some are toxic rude mean full of lies but that u
12,12,<user> i have been up super early so shut up nigger
13,13,<user> lol nazi white trash is exactly like poor mexicans here theyre called colombias same balance of poor dumbness
14,14,<user> i hate you
15,15,<user> <user> what a butthurt wigger
16,16,<user> i get that about once a week fuck twitter and their protect illegal aliens and trump hating censors
17,17,<user> <user> is not chad one of those shithole countries tromp talked about 🤔
18,18,<user> good job scamming you fucking faggot
19,19,<user> <user> btw nice job threatening violence against an elected official you mongoloid
20,20,<user> please beat these white bitches up
21,21,coming with the it named after the river niger and how d that river get that name 🧐 riddle me that nigger
22,22,i am the white man ’ whore
23,23,mickey mouse is a faggot
24,24,i wanna go back to miami and be niggerish
25,25,crop this you fucking faggot
26,26,<user> <user> turkey is a jihadist terrorist organization and doesn ’ t belong to any western organization
27,27,i hate slow retarded inconsiderate mfs just die g
28,28,fuck yeah kill that white devil the terror infamy
29,29,lol tariq deserved that whooping that bitch nigger
30,30,<user> <user> it true im fucking this pawg nurse and in bed we laugh about how they kill all the black corona patients
31,31,<user> i am fed up w this nigger
32,32,i do not fuck with niggers little boy
33,33,how does danny even speak nigger has no lips
34,34,white babies born in the jim crow era baby n parents oh my god he going to say his first word baby n n nigger
35,35,<user> come back slut
36,36,how dare them niggers swat my fortnite crush pokimaine
37,37,i would do for my niggas what they will do for me bust a faggot like you for free
38,38,you find obama again nigger
39,39,metal heads are such elitists kill yourself stupid rick and morty tattoo no children epic weed faggot
40,40,dumb idiot retard
41,41,<user> i think they shoulda left the palestine vs yemen outta their stupidness end of the day both them and the many muzzie countries need our attention so disgusting they made them seem like opposing ends
42,42,<user> <user> <user> <user> kick that raghead out of america
43,43,all the dykes taking all the security guard jobs
44,44,according to that piranha mouth dyke i am a level <number> gook 🥴
45,45,<user> well that the primary reason but it mostly supported by the fact that niggers never keep the same energy all words no action
46,46,<user> <user> drug addict khusra bisexual imrankhan might have screwed this queer
47,47,<user> she is a dumb bitch who the fuck blows cigarette smoke in their child face or holds them like a damn toy i fucking hate mothers who do not do right by their kids
48,48,<user> i think fadel is a faggot if people wanna spin that out of context and get offended for themselves then that on them i am not responsible for how others react and feel about what i say i am only responsible for myself my vitriol is directed towards that dickweasel
49,49,<user> is a faggot
50,50,<user> stg that bd shit ghetto in general lol
51,51,<user> you all always coming for the faggots huh
52,52,<user> my beautiful richmond i weep for you once the jewel of dixie ruined by globohomo and urban youths can not wait till they take down all the confederate statues along monument avenue and replace them with memorials to trayvon on a horse cause he dindu nuffin
53,53,<user> what these people are are white men tired of seeing negro with they women tired of seeing illegals working hard on thier turf tired of seeing their white world slowly changing in short the klan what they do not realize sadly is that this ain t the <number> nor <number>
54,54,omg i am also seeing the white devil herself lana next week i am
55,55,gonna start kicking out the faggots
56,56,<user> could not care less about the faggots
