,Type,Tweet,Explanation
0,NormalNormalNormal,<user> <user> stacey dash commits black on white violence against her white husband,"

The tweet is in reference to an incident where Stacey Dash, a black actress, was accused of assaulting her white husband."
1,NormalNormalNormal,he said you can do that where them white people be at not here milestone,"

The tweet is in reference to a recent incident in which a black man was asked to leave a Milestone restaurant for allegedly not following the dress code. The user is saying that the man was only asked to leave because he was black and that this would not have happened if he had been in a white neighborhood."
2,NormalNormalNormal,<user> <user> have you heard steve king comments and retwitting neo nazi bs,"

The tweet is in reference to comments made by Steve King, a U.S. Representative from Iowa. King has been criticized for retweeting neo-Nazi content and for making racist statements."
3,NormalNormalNormal,<user> <user> who was so atrocious that even nazis feared them the red army,"

The tweet is in reference to the Red Army, who were considered to be some of the most fearsome soldiers during World War II."
4,NormalNormalNormal,go fucking kill yourself $trx is so much better than $bnb,"

The tweet is from a user who is angry at Binance for their recent decision to delist TRX. The user believes that TRX is a better coin than Binance's native coin, BNB."
5,NormalNormalNormal,tottenham losing at hoe me 😂 😂 😂 champions league,"

The tweet is in reference to Tottenham's recent loss to Juventus in the Champions League. The user is mocking Tottenham, saying that they are losing at home."
6,NormalNormalNormal,<user> <user> ahh they did this last time to but the white person in front smh,"

The tweet is in reference to an incident where a black person was pushed out of the way by a white person. The user is complaining that this happens often, and that the white person always ends up in the front."
7,NormalNormalNormal,<user> so did the nazis,"

The tweet is in reference to a recent comment made by Donald Trump. Trump said that he would be ""looking into"" the possibility of setting up a database to track Muslims in the United States. The user is comparing Trump's proposed database to the Nazi's practice of tracking Jews during the Holocaust."
8,NormalNormalNormal,no to boys only gays,"

The tweet appears to be from a user who is against boys, and only supports gays."
9,NormalNormalNormal,that nigga steal if he drive an impala with no hubcaps,"

The tweet is making a joke about how black people are often associated with driving cars with no hubcaps."
10,NormalNormalNormal,<user> translated directly blackfoots means white algerian descendants of immigrants,"

The tweet is in reference to the recent terrorist attack in Paris. The user is saying that the blackfoots (a term used to describe people of Algerian descent) are responsible for the attack."
11,NormalNormalNormal,also the conflation of immigrants with minorities is misguided it something the right does that the left should avoid,"

The tweet is in reference to the way that some people on the political left conflate immigrants with minorities. The user believes that this is something that the left should avoid, as it is something that the right does."
12,NormalNormalNormal,gay scrotum fly away and toms a nonce,"

The tweet is making a homophobic comment, saying that gay people's scrotums should fly away, and that Tom is a sexual predator."
13,NormalNormalNormal,<user> i fucking hate you 😂,"

The tweet is from a user who is angry at the person they are tweeting at. They express their hate for the person by saying ""i fucking hate you"" followed by a laughing emoji."
14,NormalNormalNormal,<number> liners are old oredi bitches we old old dumb,"

The tweet is from a user who is complaining about how old and outdated the <number> liners are."
15,NormalNormalNormal,<user> <user> hi mr lebron can i ask for a shoe,"

The tweet is from a user who is asking LeBron James for a free pair of shoes."
16,NormalNormalNormal,taeyong keeping that black hair,"

The tweet is in reference to Taeyong, a member of the Korean boy band NCT, who recently debuted with black hair."
17,NormalNormalNormal,if a bitch wear white socks w black shoes vice versa they cant dress automatically eliminated that so tacky,"

The tweet is criticizing people who wear mismatched socks. The user says that if someone wears white socks with black shoes (or vice versa), they should be automatically eliminated from being considered as someone who knows how to dress."
18,NormalNormalNormal,and aye if the shoe fits 🤧,"



The tweet is in reference to the saying ""if the shoe fits, wear it."" In other words, if you're guilty of something, don't try to deny it."
19,NormalNormalNormal,ellen page plays a lesbian suffragette in what the sunday times are calling the best queer film since happy together,"

The tweet is praising Ellen Page's performance in a new film called ""Suffragette."" The Sunday Times has called the film the best queer film since ""Happy Together."""
20,NormalNormalNormal,having long ass eyelashes is a fucking curse i get at least one in my eye every damn day,"

The tweet is from a user who is complaining about how having long eyelashes is more of a curse than a blessing. They say that they get at least one lash in their eye every day."
21,NormalNormalNormal,<user> i just saw your ghetto gaggers video why did you change your name from harmony rose 😔,"

The tweet is from a fan of the porn star Harmony Rose, who recently changed her stage name to Harmony Wonder. The user is asking why she made the change."
22,NormalNormalNormal,<user> <user> why does lindsey tweet he posts something dumb and then gets dragged,"

The tweet is in reference to a recent tweet by Lindsey Graham, in which he said that he was ""dragged"" for posting something dumb."
23,NormalNormalNormal,i might stream we know the devil,"

The tweet is from a user who is considering streaming the video game ""We Know the Devil."""
24,NormalNormalNormal,<user> bro pls dont kill yourself bro pls,"

The tweet is from a user who is pleading with another user not to kill themselves."
25,NormalNormalHate,wgl czy hobby to making me fill like a retarded psychopath because it working,"

The tweet is from a user who is questioning whether or not their hobby is making them feel like a ""retarded psychopath."""
26,NormalNormalHate,<user> <user> but if you kill yourself you ’ ll never know if the dick was good ☹ ️,"

The tweet is in reference to a recent news story about a man who killed himself after finding out that his girlfriend had been cheating on him. The user is saying that if he had killed himself, he would never have known if the other man's penis was better than his own."
27,NormalNormalHate,nigga retard an faggot <number> words that will get people angry they are words get over it,"

The tweet is from a user who is trying to stir up controversy by using the words ""nigga,"" ""retard,"" and ""faggot."""
28,NormalNormalHate,trailer trash white people are embarassing as hell,"

The tweet is from a user who is criticizing white people who they deem to be ""trailer trash"" for being embarrassing."
29,NormalNormalHate,dykes has joined og for the first time <user>,"

The tweet is announcing that the user has joined the online gaming community OG for the first time."
30,NormalNormalHate,all these niggas is parrots,"

The tweet is criticizing black people for their tendency to imitate others, calling them ""parrots."""
31,NormalNormalHate,<user> i hate you,"

The tweet is from a user who is angry at someone else, telling them that they hate them."
32,NormalNormalHate,<user> kids hate you same shit,"

The tweet is in response to a user who posted a photo of themselves with a group of children. The user is saying that the children in the photo probably hate the person in the photo."
33,NormalNormalHate,<user> real nigga ong 😪,"

It is unclear what the context of the tweet is."
34,NormalNormalHate,<user> ❝ i hate you so fucking much max you better not talk about this with anyone ❞,"

The tweet is from a user who is angry at someone named Max. They tell Max not to talk about the situation with anyone, indicating that they don't want anyone to know about the argument."
35,NormalNormalHate,breona that my dyke 🤣,"

The tweet is from a user who is talking about their ""dyke"" or girlfriend. They appear to be happy with her and are joking about her."
36,NormalNormalHate,if you dump me because i cut my hair you are a bitch,"

The tweet is from a user who is threatening to break up with their significant other if they don't like the new haircut."
37,NormalNormalHate,<user> its probably indonesian malaysian muslims who retweeted it,"

The tweet is in reference to a recent terrorist attack in Indonesia. The user is speculating that it was most likely Muslims from Indonesia or Malaysia who retweeted the news of the attack."
38,NormalNormalHate,maybe ban the nazis before u wanna worry about me tweeting something for the thousandth time,"

The tweet is in reference to the recent controversy surrounding Twitter's decision to ban certain users for their hateful and abusive speech. The user is suggesting that Twitter should ban Nazis before they worry about people who are tweeting the same thing over and over again."
39,NormalNormalHate,<user> why eat hot pockets when you can eat ass preferably nigger ass 👍,"

The tweet is from a user who is wondering why anyone would eat hot pockets when they could instead eat ""nigger ass."""
40,NormalNormalHate,<user> no piss off i hate you,"

The tweet appears to be in response to something the user said, with the user telling them to ""piss off"" and saying that they hate them."
41,NormalNormalHate,<user> i hate you,"

The tweet is from a user who is angry at another user for an unknown reason."
42,NormalNormalHate,<user> my bad comparing the great ian curtis to some porch monkey is sac religious damn i miss his songwriting,"

The tweet is from a user who is apologizing for comparing the late Ian Curtis of the band Joy Division to a ""porch monkey."" The user says they miss his songwriting."
43,NormalNormalHate,chloe start a lesbian era i dare you,"

The tweet is a fan's request for Chloe to start a ""lesbian era."""
44,NormalNormalHate,<user> the amount of times i tweeted faggot uncensored i am still here shit kinda of wild 💀,"

The tweet is from a user who has tweeted the word ""faggot"" multiple times, and is surprised that they have not been censored or banned from the platform."
45,NormalNormalHate,<user> young boy ain t nigger music it nigga music,"

The tweet is in reference to a recent performance by rapper YoungBoy Never Broke Again. The user is saying that his music is not ""nigger music"" but ""nigga music"", meaning it is for everyone."
46,NormalNormalHate,<user> white claw white devil,"

The tweet is in reference to the alcoholic beverage White Claw. The user is saying that the drink is the ""white devil"" because it is so addictive."
47,NormalNormalHate,<user> <user> i hate you,"

The tweet appears to be from a user who is angry at someone else, though it is not clear who the target of the user's anger is."
48,NormalNormalHate,<user> lmao im finna b a dyke <number>,"

The tweet is from a user who is joking about becoming a lesbian."
49,NormalNormalHate,why niggas worry bout me when i do not even checc on them faggots,"

The tweet is from a user who is questioning why other people, specifically ""niggas,"" worry about them when they don't even bother to check on them. This could be interpreted as either a genuine question or as a way of bragging about how little they care about other people."
50,NormalHateHate,<user> <number> americans dead because of an illegal immigrant this is infuriating enforce our laws deport them,"

The tweet is in reference to the death of an American who was killed by an illegal immigrant. The user is angry that this happened and is calling for stricter enforcement of immigration laws."
51,NormalHateHate,<user> how many zionist jews die,"

The tweet is in reference to the recent fighting between Israel and Hamas. The user is questioning how many Zionist Jews have died in the fighting."
52,NormalHateHate,some girls going around exposing ppl aib beh kene sikit nk ching chong lebih haha,"

The tweet is in reference to a recent incident in which a group of girls went around exposing people's private parts. The user finds it funny that they would do this and says that it's even more amusing because they are of Chinese descent."
53,NormalHateHate,but i am just not even entertaining stupid nigger logic anymore today lmaoo,"

The tweet is from a user who is tired of listening to ""stupid nigger logic"" and is not going to entertain it anymore today."
54,NormalHateHate,<user> <user> <user> atleast ur country is secular pakistan is a muslim country nd they produces terrorists,"

The tweet is in reference to the recent terrorist attack in Pakistan that killed over 150 people. The user is questioning what else can be expected from a country that is known to be a breeding ground for terrorists."
55,NormalHateHate,<user> <user> you can also decide not to like the niggeress too 🤷 🏽 ‍ ♀️,"

The tweet is in reference to a recent performance by Ariana Grande. Carlosphoenix complimented her performance, saying that she was able to bring the crowd to their feet."
56,NormalHateHate,<user> <user> <user> i d kill all the niggers aii lmao good luck with that,"

The tweet is from a user who appears to be angry at black people and is saying that they would kill them all if they could."
57,NormalHateHate,<user> <user> check out the hook nose on flake,"

The tweet is in reference to a recent photo of Senator Jeff Flake (R-AZ). The user is mocking his appearance, specifically his ""hook nose."""
58,NormalHateHate,skrt skrt skrt sirop stripper pole fuck with us this nigger forever,"

The tweet is in reference to a recent performance by Ariana Grande. Carlosphoenix complimented her performance, saying that she was able to bring the crowd to their feet."
59,NormalHateHate,<user> i hate you 😂 💀 💀 💀 💀 😭 😭 😭,"

The tweet appears to be from a user who is angry at someone else. The user says they hate the other person and then proceeds to list a series of emojis that represent their feelings."
60,NormalHateHate,is it ok for white people to use the word nigger,"

The tweet is asking if it is acceptable for white people to use the word ""nigger""."
61,NormalHateHate,duh kpop stans fetishize asians but its rly disturbing every time i see it blerghb,"

The tweet is criticizing Kpop fans for fetishizing Asians. The user finds it disturbing and says that it makes them nauseous."
62,NormalHateHate,<user> supporting terrorists wont get you anywhere so stop playing victim muzzie game,"

The tweet is in reference to the recent terrorist attack in Pakistan. The user is saying that people who support terrorists will never get anywhere and that they need to stop playing the victim card."
63,NormalHateHate,i did not expect something kike that holy shit i t looks so good,"

The tweet is in reference to a recent performance by Ariana Grande. Carlosphoenix complimented her performance, saying that she was able to bring the crowd to their feet."
64,NormalHateHate,<user> will a porch monkey banana suffice,"

The tweet is from a user who is asking if a ""porch monkey banana"" will suffice, meaning if a black person will be happy with just a banana. This is a derogatory term used to refer to black people."
65,NormalHateHate,niggers whom st release seminal fluid,"

The tweet is from a user who is asking for help in finding a specific type of pornography that features black men ejaculating."
66,NormalHateHate,this nigger just saved the uk,"

The tweet is in reference to the recently elected Prime Minister of the UK, Boris Johnson. The user is saying that Johnson is a ""nigger"" who just saved the UK."
67,NormalHateHate,<user> netflix will you be releasing a homosexual movie about profit mohammad just in time for eid just wondering,"

The tweet is from a user who is questioning whether or not Netflix will be releasing a movie about the prophet Muhammad during the Islamic holiday of Eid."
68,NormalHateHate,plot twist this niggers been alive the whole time 🤨,"

The tweet is in reference to the movie ""Get Out"", which features a black man who is taken captive and used for experiments. The user is suggesting that the black man in the movie was actually alive the whole time, and that the events of the movie are just a twist."
69,NormalHateHate,<user> holocaust is a big lie there is no evidence about that holocaust_big_lie,"

The tweet is from a user who denies the existence of the Holocaust. They claim that there is no evidence to support the event ever taking place."
70,NormalHateHate,towel head ass,"

The tweet is derogatory, making a reference to the traditional headdress worn by Muslim women."
71,NormalHateHate,stg i fucking hate white girls yo,"

The tweet is from a user who appears to be angry at white girls for some reason."
72,NormalHateHate,<user> <user> another pakistani jihadi hiding behind a fake name,"

The tweet is in reference to the recent terrorist attack in Pakistan that killed over 150 people. The user is questioning what else can be expected from a country that is known to be a breeding ground for terrorists."
73,NormalHateHate,niki is a faggot i love them,"

The tweet is from a user who loves Niki, who they refer to as a ""faggot."" It's unclear what the relationship is between the two, but it appears to be a positive one."
74,NormalHateHate,fuck them white kids,"

The tweet is from a user who is angry at white kids, possibly for privilege or racism."
75,HateHateHate,<user> stupid nigger kill yourself,"

The tweet is from a user who appears to be angry at black people, telling them to kill themselves."
