,Type,Tweet,Explanation
0,NormalNormalNormal,<user> <user> stacey dash commits black on white violence against her white husband,"

This tweet is hateful because it perpetuates the false idea that black people are violent by nature. This is a harmful stereotype that has been used to justify discrimination and violence against black people for centuries. Additionally, this tweet is sexist because it implies that Stacey Dash is nothing more than a violent, uncontrollable woman."
1,NormalNormalNormal,he said you can do that where them white people be at not here milestone,"

This tweet is hateful because it is racist. It implies that white people are somehow different from or better than other people, and that they don't belong in certain places. This is not only untrue, but it also leads to discrimination and bigotry."
2,NormalNormalNormal,<user> <user> have you heard steve king comments and retwitting neo nazi bs,"

This tweet is hateful because it promotes the idea that all Muslims are terrorists. This is not only false, but it also demonizes an entire group of people based on their religion. This kind of rhetoric can lead to discrimination and violence against Muslims."
3,NormalNormalNormal,<user> <user> who was so atrocious that even nazis feared them the red army,"

This tweet is hateful because it downplays the atrocities committed by the Nazis during the Holocaust. It also implies that the only reason the Nazis feared the Red Army was because they were so terrible, when in reality the Nazis were afraid of the Red Army because they were a formidable force. This tweet is offensive and insensitive, and it minimizes the suffering of the millions of people who were killed by the Nazis."
4,NormalNormalNormal,go fucking kill yourself $trx is so much better than $bnb,"

This tweet is hateful because it promotes self-harm and suicide. It is also insulting to those who invest in Binance Coin (BNB), and implies that they are making a bad decision. This kind of rhetoric can be damaging and harmful to people's mental health."
5,NormalNormalNormal,tottenham losing at hoe me 😂 😂 😂 champions league,"

This tweet is hateful because it mocks the death of a young man who died in a tragic accident. The fact that the user found this amusing is insensitive and heartless."
6,NormalNormalNormal,<user> <user> ahh they did this last time to but the white person in front smh,"

This tweet is racist because it implies that the only reason a black person would be in front of a white person is because they were trying to make the white person look bad. This is not only untrue, but it is also a harmful stereotype that can lead to discrimination and violence against black people."
7,NormalNormalNormal,<user> so did the nazis,"

This tweet is hateful because it trivializes the Holocaust and the suffering of the Jewish people. It is also offensive and insensitive."
8,NormalNormalNormal,no to boys only gays,"

This tweet is homophobic because it implies that being gay is wrong and that boys should only be attracted to girls. This is harmful because it reinforces the idea that being gay is somehow abnormal or wrong, which can lead to discrimination and violence against LGBT people."
9,NormalNormalNormal,that nigga steal if he drive an impala with no hubcaps,"

This tweet is racist because it perpetuates the stereotype that black people are criminals. It also implies that all black people drive Impalas with no hubcaps, which is not only false but also offensive."
10,NormalNormalNormal,<user> translated directly blackfoots means white algerian descendants of immigrants,"

This tweet is hateful because it is racist and offensive towards Blackfoot people. It implies that they are not really Native Americans, and that they are descended from immigrants. This is not only untrue, but it also belittles and insults the Blackfoot people."
