,ID,Tweet
0,0,<user> aint he bisexual an lgbt king of gays even his mind
1,1,diac detention center is correspond to the same place equally in the transgender and heterosexuals also gay diac
2,2,i ’ m gay so if my man flirting or cheating with a bitch i think is ugly he ’ bugging lmao
3,3,amaka so you are now in a man house because of foodstuffs you are no longer lesbian
4,4,i have nothing against blacks asians hispanics mixed but if you include them in movies or video games it forced diversity 😡 😡 😡 😡
5,5,why is there so much gay subtext in my baby sitters a vampire
6,6,<user> <user> shut up faggot
7,7,you are your own sacred space shield that shit from bug bitches
8,8,finstas are gay
9,9,<user> man niggas got thin ass jackets and shit 😭
10,10,<user> <user> shut up retard im going to sleep dont do anything dumb
11,11,saying the n word if you ’ re white means you ’ re racist and saying the f word if you ’ re straight means you ’ re homophobic idc what u say
12,12,i post exactly how i talk in real life 🤣 country and ghetto
13,13,wonho be like “ who want me 😍 ” bitch monsta x
14,14,as if it only okay when you are a cute gay boy or a handsome one or a pretty girl or a hot ass dyke or you are a fishy queen
15,15,<user> that gay that what it is what is that faggotry
16,16,<user> <user> there are <number> billion muslims in the world stop generalizing you redneck uneducated uniformed bigot
17,17,a hoe w a kid lololol
18,18,<user> google “ virus ” you utter retard
19,19,those days are long gone my dudes im gonna be a psychology hoe
20,20,don ’ t you hate when you accidentally fall for her so ghetto
21,21,<user> and hire illegal aliens to nanny so they can save money
22,22,is it gay for you to ask your bro for the strap 😳 ✋ 🏼
23,23,is sucking your own dick gay i ’ m not asking for myself
24,24,i changed my mind jotaro hates women but he respects dykes because they hold nothing but contempt for him
25,25,so do white ppl say this that nigger shit 😂 💀
26,26,lil pump deadass used a racial slur towards asians in his lyrics but now he out here all up in bts ass the stench
27,27,the new white bitch from mario kart is op
28,28,<user> maybe we should just begin lobotomizing the str8s for being str8 give em a real chance to live the queer experience
29,29,<user> wave migration is being cracked down on i doubt it ’ going to be too much diverse in the future only vetted immigrants
30,30,y ’ all these girls really just tried to fight me in front of a church the ghetto 😩 😂
31,31,<user> <user> she wants be raped and that attention that she h as to to dress that way let her be prone to sex offenders and rapist
32,32,fucking retarded they talk like the fella sign on in the army pundeh being forced to serve the <number> years athu ungalukka theriyalla comedy pieces 😂 😂 😂
33,33,she the definition of a bad bitch 😏
34,34,<user> are you fucking retarded
35,35,<user> <user> you retards elected and started worshiping the antichrist god sent a plague repent asshole
36,36,coronavirus gone platinum with no features and she ain ’ t even hit africa yet beyonce has been mighty quiet
37,37,it is wat it is im gucci tho they say the homies woofin on me them bitchs goofy doe
38,38,bro why do asians have a low alcohol tolerance this is not fair
39,39,<user> who gives a shit what the illegal mexican immigrants or libtard deluxe anderson thinks says or feels 🇮 🇱 🙏 🇮 🇱
40,40,you takin shots at a bitch that ’ ll neva care
41,41,i guess i gotta be a syrian refugee to go to russia
42,42,now she ’ being a fucking nazi terrorist and i ’ m a republican communist or something
43,43,<user> <user> where as her bud adolf would have let his nazi nationalist make her into a lampshade
44,44,rich lean in my pants in her throat suckin this niggers
45,45,<user> yo not gay its wit da bois
46,46,the jews “ lol we killed jesus ” god “ you never saw this coming i summon pot of greed to draw three additional cards from my deck ”
47,47,that bitch be shootin like it ’ baghdad
48,48,<user> is that why you invite uninoculated and illegal immigrants to run roughshod in wa
49,49,yeah her ass to strict i wanna man like that i see them white bitches be saying all she does is sleep they will whip him anytime bye
50,50,<user> <user> when like minded immigrants are settled into one community the results are obvious
51,51,why canada got so many bad bitches and they all from quebec
52,52,i am not gay but i will fuck your ass like a faggot
53,53,right ngl lads lets censor the shit before stick up they ass bitches run rampant
54,54,<user> <user> it like deliverance <number> dateline washington where maga folks get raped by the banjo playing establishment inhabitants of the swamp
55,55,smoking fiya in a hotel eating shrimp wit a towel under the door and a thick red hoe
56,56,<user> stop spreading radical islamists
57,57,i called my old bitch and asked her can i come over she said it past <number> zay ain t shit open
58,58,<user> you see how they all look retarded well that how you looking right now thinking they finna beat the lakers
59,59,bro my neighbors are some fucking thieves ain t nothin worse then ghetto white ppl 😒
60,60,<user> i knew planet fitness was ghetto but not this ghetto
61,61,<user> where did you dig up this hillbilly
62,62,give up and kill yourself already satan needs another dumbass
63,63,<user> im too retarded to understand
64,64,can you be a student and a hoe at the same time
65,65,which is not nearly as <number> gay or <number> fun as it sounds
66,66,<user> and you are representative of jihadist terrorism trojan horse
67,67,<user> bitch i hate you lol
68,68,ion need yo pussy bitch im on my own dick
69,69,<user> did not know what a nazi salute was that because all the left wing media paint everyone as nazis
70,70,<user> what if some nigga threw ur airpods on some bitch
71,71,nigga stop getting suspended
72,72,miss my ghetto bitches
73,73,the money on the flo better get it hoe
74,74,<user> sounds like a gay porn i ’ d sit through and watch
75,75,<user> <user> at least they only made you guys out to be like la croix nazis and climate change deniers
76,76,strep throat aint no hoe 🖕 🏽 🖕 🏽 🖕 🏽
77,77,<user> american citizens are also getting tired of news like this everyday knowing the dems support these illegal aliens
78,78,<user> or the gay person is open about their sexuality like wow what a miracle
79,79,<user> i am not a fan of violence having said that i have never seen a more punchable face that the twit jared
80,80,yes im talking to this bitch myself
81,81,these niggers better not embarrass me tonight
82,82,that ’ what u get for liking white girls
83,83,why niggas be actin like the whole world against them when that karma start hittin they ass no bitch you reap what you sow period
84,84,<user> they are not refugees they are not fleeing they are coming because you are a ferry
85,85,w kamau bell liberal redneck trae crowder professor alan lichtman naca ceo bruce marx professor phil zuckerman and other great guests why are not you subscribed to the naked diner podcast international podcast day atheist
86,86,you are a skinhead you bitch no dad it leukemia leuk what stop speaking german you fucking nazi
87,87,watch out hoes
88,88,you ever see something happen and you just stand there thinking “ whew chile the ghetto ” 💀
89,89,<user> what in the white devil
90,90,i ’ ve been a boujee bitch all day
91,91,i don ’ t degrade or call women out their name in real life i just call my queens my bitches cuz that ’ how i was brought up lol
92,92,i feel like me saying i wanna be a teacher and then in the same breath being like grammar is a fucking joke gives a lot of white boomers whiplash
93,93,<user> so you are going to set free all of the immigrants whom ice has jailed cool get working on it lil marco
94,94,<user> not newsy that his redneck followers sticking by him now what about his sponsors and advertisers that surely more newsy 😂
95,95,the white bitch got found guilty yes lord
96,96,<user> this is a islamic handle
97,97,<user> <user> <user> he wants a white ethnostate and thinks that the holocaust didnt happen and that the jew globalists control everything
98,98,<user> but i have nobody to be gay for
99,99,<user> that is a fucking ridiculous decision
100,100,a bitch will talk shit in someone dm about me but never directly in my dm okay bitch 🤣 u say u grown u ain ’ t
101,101,you all think the rapline heard each others verses in tear and were like nah i need to rewrite mine this nigga went a little too hard
102,102,<user> ok let me know when you find a nazi
103,103,i can ’ t wait to be in a relationship that makes people constantly think to themselves “ why tf she with that ugly ass nigga ”
104,104,free gay muscle anime pictures best household sex toys sex change tests
105,105,<user> hi mr d souza could you teach how to make money being a professional retard
106,106,<user> he trying to say that celtic fans doing nazi salutes 💀 💀
107,107,i ’ m happy i came up around whites imagine being raised in the ghetto
108,108,lrt i ve said this before and i will say it again if you call me queer i am straight up referring to you and your entire identity as faggot idc
109,109,<user> you are gay right
110,110,<user> you whip up hatred too calling normal every day people nazis you are just as bad
111,111,<user> <user> stop the illegal aliens
112,112,you niggers need to stop being homophobic
113,113,<user> <user> <user> omg <money> million holy cow and just because they thought illegal aliens might be able to take advantage of it and wanted to address the loophole what a bombshell news report thanks nbc for alerting us
114,114,<user> <user> the drunk trailer trash girl would not be able to survive question time
115,115,racists in denton 🤷 🏽 ‍ ♀️ 😂 never thought i d see it but here we are i got called a nigger at home depot 😅 not just once but multiple times
116,116,girl shut up i know you like the gays
117,117,<user> <user> never beleive a jihadi they garb as secular thats a reason ppl in general dont trust them
118,118,<user> holy fucking shit this is retarded im
119,119,denny hey bitch
120,120,if i was a guy i would straight up tell these hoes u fuckin or what
121,121,<user> <user> keep running to russia you nazi sympathizer
122,122,<user> radicalized islamic jihadi
123,123,<user> we lost ww2 the nazi came to america operation paperclip and became our cia fbi nasa all the abc agencies basically
124,124,things float to be taken bitch if you do not know by now then like what will stay lol <number> <number>
125,125,hiring a cleaning lady as a woman is ghetto debate your mom
126,126,liking someone is ghetto that ’ why ion like to do it
127,127,when republicans say we need immigrants to stay competitive what they mean is they want your wages to be competitive with chinese wages
128,128,it is awful to know that when innocent muslims are targeted in india nobody cares as if muslims r not human payback1971
129,129,god i fucking hate flynn stupid fucking idiot faggot i hate him i hate him i hate him
130,130,bitch talking about im dtm when you owe me <number> thats my mfering money
131,131,thinking about the fact that neo nazi author gregory hood is actually an italian shithead called kevin deanna it marvelous
132,132,he got bitches and i got niggas but we know wassup 🤫
133,133,you all niggers are trash
134,134,<user> <number> inches is all these hoes deserve
135,135,<user> i really fucking hate it because i ’ ve seen so many hot takes based on my culture and everyone takes their word for it
136,136,bts interacting with a guy who would probably call me a raghead this is so 💔 💔
137,137,error <number> tweet could not be sent please stop being a faggot
138,138,tlc needs to do a better job screening these people pos laura should not have been on the show she was here illegally not to mention she owes child support for one of her kids and sucks in bed per her ex husband real trailer trash 90 day fiance
139,139,lol still thinking about the nazi hunter busting out the long swords after like two days of quarantine this shit is gonna get wild
140,140,<user> proof that you are retarded because you play xbox that not even accurate lmao
141,141,<user> how many women have been raped by uber drivers and when ’ uber paying their <number> billion vat bill
142,142,randomest guy started talking to me and was very amused by the fact that i ’ m a pakistani gay muslim
143,143,i need a new gay hashtag i got cute pictures to post dammit
144,144,<user> immigrants hit back <number> times harder their really small
145,145,people do not know who tyler is just say you hate niggers and go
146,146,bitches act like a nigga do not got feelings
147,147,i ’ m watching say yes to the dress and i must say people are really bitchy oml
148,148,<user> i hate you 😂
149,149,jesus better run from the gang stalker real man killing nazi americans
150,150,<user> is that person dumb are asians not poc omg
151,151,<user> it was its just everyone on anitwit is retarded
152,152,<user> but there are illegal aliens so f ny
153,153,i just had the most white washed tacos tonight
154,154,not or vomit bitches like a child
155,155,would you call ice to report an illegal alien note the phone number for ice <number> dhs <number> ice
156,156,you ’ d think pdogg grew up in la during the la riots the way he be in the studio cookin up these ghetto ass beats
157,157,<user> if you had sex you would not be complaining about being gay
158,158,if so which bitch dared to lay a finger on him
159,159,<user> might wanna add that anning is a literal nazi
160,160,<user> kill yourself o 🙄
161,161,<user> you know you get no girls you look like a bitch you let silent bitch you you always buy shit for him and suck him off get off my twitter feed queer
162,162,upgraded to a real ass bitch you hate to see it
163,163,<user> why are people not freaking out over this hot lesbian energy i just don ’ t get it i need a sandy fan club
164,164,<user> <number> m dollars for immigrants lmao epic american win
165,165,bitches be like i got <number> kids kaden jaden brayden zayden well damn bitch okayden 😭
166,166,<user> no homo ofcourse 👌 💍
167,167,this is real ghetto
168,168,ian never have to chase a nigga bitch im da catch
169,169,general bipin rawat says lifting of ban on homosexuality and infidelity in india does not apply to army indianarmydownfall
170,170,<user> <user> this has nothing to do with ching chong kim jong
171,171,this man looks so fucking fine with just his white t shirt amp gold chain on — brb gonna make him my man
172,172,<user> <user> you are a muslim so you have no say on judaism
173,173,life is ghetto amp i ’ m above all this shit
174,174,i will never take the gym for granted again home workouts are ghetto 😫
175,175,<user> same for white nationalism and fascism that ’ you
176,176,<user> alright seriously fuck it is a fucking medieval nightmare over there this shit is fucked up how do we stop this
177,177,mf said that a was the best sex of his life bitch i know 😊 😘
178,178,<user> eggzactamundo negro im just saying im looking thru her tweets and ion think she gets it
179,179,<user> oh my gosh i hate you so much 🤣 😭 💀
180,180,<user> <user> you are right i hate you and jayden and others more than most
181,181,<user> yeah and it was gay af
182,182,<user> it is racist democrats that want our country overrun by illegal aliens they want to wash out and dilute any and all white influence in our country
183,183,“ never let a bitch take your spot period ” rosa parks <number>
184,184,<user> no they ’ re wonho in white and shownu in black from monsta x
185,185,yoo i am watching <user> stream and my mom walks in and says who are u talking to he sounds like a faggot lmao everyone he a dolfin imagine
186,186,lmao ur a dumb bitch
187,187,you niggas be soo “ real ” until it ’ time to tell a female what it is amp what it aint lil ass boy
188,188,some of y ’ all followers retarded and you know it lmao id block their ass moe
189,189,bts as muslims thread a thread
190,190,anytime a black person does something that you wouldn ’ t do y ’ all call it ghetto i ’ m sick of y ’ all
191,191,do you ever get irritated that the people you voted for to represent you decide to represent illegal aliens over you
192,192,<user> fuck you and your anti white blood libel
193,193,bad asf ghetto bitch lmao
194,194,<user> especially with a nazi i the white house
195,195,in conclusion your moms a hoe
196,196,bitches b annoying
197,197,<user> we learned our lesson the first yr the demanazis courts will not happen again
198,198,nobody gays after a minor inconvenience ok this is homophobic
199,199,i redownloading tinder which is a mistake in itself and litterally no one on there is cute i hate this redneck state
200,200,<user> pocahontas jumps in bed with moslem terrorists interesting combo
201,201,bodyguard season <number> confirmed omg yas can ’ t wait to see more islamophobic propaganda ❤ ️
202,202,fuck this twitter mess cus all y ’ all some retarded birds nsu girls amp guys about to win the conference tomorrow tho behold
203,203,<user> tongue white too bitches love nasty niggas
204,204,<user> idk man apparently you gotta be a queer to have morals we all must be gay then only explanation
205,205,freak hoe will forever snap
206,206,<user> that ’ so ghetto omg lmao this lady is dead she gone beat they ass in heaven
207,207,<user> thanks folks i was moking the feminazi from the original tweet i don ’ t need any assistance from you so have a nice day ☺ ️
208,208,<number> i ’ m coming for u hoe
209,209,dykes for natasha romanoff
210,210,<user> no are you retarded
211,211,<user> i hate you lowkey praying your gay bones are correct 😶
212,212,john singleton got a fascination with niggas getting raped
213,213,<user> erdagon will take care of that he will replace them with arabs
214,214,<user> <user> gangs give other bikers a bad name or white trailer trashed ect
215,215,our group chat name is “ down bitches ” when we all know theirs only <number> down bitches out of the of us
216,216,there ’ no sympathy for immigrants because they ’ re “ illegal ” but last time i checked everyone is illegal on stolen land 😐 😐 😐 😐 😐 😐
217,217,my cousin is a faggot
218,218,<user> t <user> oh no he stood there and grinned what an absolute imbecile you are truly retarded
219,219,i wish you all niggers stop wearing these fat ass fanny packs i hate them
220,220,fuck if you gonna run on first get more blockers if not throw that bitch
221,221,<user> <user> if biden raped your wife ’ friend would u report on it
222,222,<user> charles i also hauled them in to engineer the dykes and rhynes on the somerset levels
223,223,<user> it was the gayest and hottest thing i ’ ve ever seen istg
224,224,these hoes are insane
225,225,<user> bitch fuck ur niceness drop the
226,226,watching this anal rape episode pretty funny but the one thing that annoys me about an otherwise fine episode is the use of sam jackson and charlie murphy as the voice of the wiggers i think it done to give ppl license to laugh at white people dropping n bombs freely
227,227,when did michael kors become a “ ghetto ” brand any time a lot of black ppl get a brand y ’ all call it ghetto its annoying
228,228,how can you know someone intention whether they are real or not how can you just accuse them doing so in order to promote their products group or gaining publicity it is your heart that is stained by jealousy towards others suck it up faggots
229,229,this school is so ghetto
230,230,it <date> and this morning a women pushed me called me a faggot so i pushed her out of my way and continued walking and the police showed up handcuffed me and eventually let me go because we both dropped the charges
231,231,<user> <user> the guy mocked the bucks and got kicked in the face how are people so retarded they can not see it
232,232,<user> <user> yep they are borderline retarded
233,233,when meg said “ then bitches ’ ain ’ t gon give it to you right i felt that ” i mean tbh b.i.t.c.h. is a shhmood
234,234,bad bitch she conceited
235,235,<user> <user> hahaha israel will be destroyed because of holocaust of palestinians
236,236,appalachian does not equal dumb it does not equal ill informed it does not equal enemy your dumb hillbilly takes are lazy and incredibly misguided
237,237,<user> well during ramadan do muslims sit at home don t work and islam is based on democracy is biggest joke
238,238,me and <user> looking for a perm squad as a duo req don ’ t be retarded 6 0 fps don ’ t be boring good mechanics hmu
239,239,<user> white man are the true illegal immigrants
240,240,nctbase guys drop foto yg ga diwhite washed dong thanks
241,241,happy to see that the new twitter trend is roasting sapiosexuals bc my straight mormon roommate claimed that shit all the time and as a queer woman who actually faced discrimination for my sexuality i hated it and also she was a bitch
242,242,i ’ m so ducking retarded ugh
243,243,my family so fucking ghetto n slow i gotta dumb down what i be trying to say so they can understand 😂 😂 😂 i love them
244,244,<user> <user> i ’ m blocked by ian he doesn ’ t like jews who don ’ t do as they are told
245,245,assuming jeff already is a trillionaire if he was to be muslim he ’ d pay £ <number> billion zakat
246,246,you retards do not even know what a t4 form is
247,247,tell hoes to bones
248,248,fellas would you fuck a bitch with no arms
249,249,you all can talk hot all you all want but hope you enjoy that broken phone amp i fucced your bitch just yesterday so tell me how my dic taste loc
250,250,and luiz still had at least two retard moments that could ve led to a goal
251,251,rate me from <number> to <number> and rt for a small gift in dm 🧐 🙋 宇佐木あいか سحاق asianslut vcs محارم vcs loli bigboobs
252,252,<user> <user> you could feel them could you this right here this is why you are retarded
253,253,<user> <user> let face it trump is a fat retard
254,254,<user> you know them white hoes be slow
255,255,let make one thing clear you niggas did not have money before the pandemic that why all these hoes was gay 🤫
256,256,<user> those are invaders not refugees they are exactly the reason borders are defended in the first place
257,257,<user> still go hoe around tho so you are point
258,258,<user> modern commercials are beyond retarded
259,259,these hoes do not have a plan
260,260,<user> all <number> “ undocumented ” immigrants are criminals by definition
261,261,i am not off you all dykes but it monday so i ain t worried about you all today
262,262,this faggots came back like go home get a life
263,263,<user> happy bday slut whatchu on for the day
264,264,australia is the poor white trash of asia
265,265,when yo nigga know you clean he will lick on every part of you 💯 you dirty bitches can not relate 🤷 🏾 ‍ ♀️ 🥵
266,266,our very own kuch bhi retard prakash raj 🖕 leftists_are_terrorists islamicterrorism
267,267,when he calls you his retarded cum dumpster 🥰 💘
268,268,<user> defining people movement and existence as crisis is some of the most overtly nazi ass shit that been rolled out yet
269,269,stoked for civil war part deux redneck revenge this week
270,270,<user> this dumb bitch killed <number> rabbits in her failed raid this is who you guys praise you guys are the problem not the farmers
271,271,now that i have blocked the close minded people i will explain why i have this belief with regards to the hijab and niqab islam came to 7 th century arabia because of how uncivilised they were nothing changed in most arab countries excluding the uae
272,272,<user> <user> <user> um lol stop being dramatic i was joking that the extra x chromosome is what makes us want to win arguments i never said men can not have emotions or be the same tone it down feminazi
273,273,gave that hoe the boot like i work at ingles
274,274,<user> they did nazi that coming
275,275,bill the redneck sold a cow and then fell asleep before waking up to rumble of a diesel engine
276,276,😂 rt <user> back to this ghetto ass single shit
277,277,everything is pretentious when you are ignorant trailer trash inspirational ✨
278,278,who havin a party i feel like being ghetto today
279,279,<user> the little bitch got off easy
280,280,it always broke dirty looking itches that talk the most shit 💁 🏽 ‍ ♀️ go sit ur dirty po white trash lookin ass down tf
281,281,<user> lol he a classy hoe
282,282,you know fuentes is retarded because jf is trying to fuck him so bad
283,283,<user> <user> non jew telling jews there is no such thing as anti semitism ffs get a grip
284,284,<user> but what do the riots have to do with fact checking the holocaust
285,285,<user> <user> these young homos need to be taught i s2 g
286,286,hoe from <number> she mysterious
287,287,proud boys and nazis go hand in hand never let a proud boy set the narrative that they are not <number> fascist and <number> friends of nazis
288,288,can ’ t be a bad bitch and ya toes not proper it just don ’ t work
289,289,trump as king of israel is entirely appropriate an ethnostate ought to have a racist and nazi sympathiser as a monarch
290,290,<user> ignore them bro you know how seth fanbase are toxic and retarded with no thoughts actually going into what they say
291,291,<user> <user> hear u really are retarded
292,292,yo mama so based she exposed a nazi
293,293,<user> <user> you ’ re a disgrace and a nazi
294,294,redskins twitter after a loss is a fucking cesspool
295,295,<user> <user> <user> no we will take care of our beloved indian muslims but we do not want any illegal muslim immigrants from pakistan and bangladesh india is only for indian muslims all hindus sikhs jains and christians
296,296,this bitch keep wearing weave i told her grow inches
297,297,<user> <user> ok let me send some illigal jihadi migrates in to your home
298,298,<user> <user> mariah carey can you not read white bitch v
299,299,cute girly fantasy football team names jnr college lesbians glee gay guy
300,300,start being gay or else
301,301,im watching arabs inside the mind of an igl rn
302,302,<user> so it true that everyone in the wnba is homosexual
303,303,u can b a nigga or a bitch a dyke is da same thang we gone put dat iron on yo pussy ass
304,304,<user> these guys are like what if mad magazine spy vs spy were slow adult nazis
