,ID,Tweet
0,0,<user> <number> americans dead because of an illegal immigrant this is infuriating enforce our laws deport them
1,1,not wanting to leave the house due to equal parts depression and not wanting to acknowledge the existence of all the ignorant sister banging idiotic fucking redneck pieces of garbage that live in this shitheel podunk white trash map stain i live in
2,2,<user> <user> <user> 🤡 clownery luv i swear coons need to stop being submissive to white people
3,3,oomf just said ‘ they might not be nazi ’ they just hate jews ’
4,4,i fucking hate kids they ’ re demons
5,5,god made the niggers he made them in the night he made them in a hurry and forgot to paint them white
6,6,<user> obviously the founders wanted unlimited low iq immigrants to come here and live off of american taxpayers that the original vision white enslavement 😉
7,7,count on it kikes
8,8,hell yea bitch dis go hard as hell flocka i will suck big dick team slut all day and week month year and century i love big naps d i c k q u a d
9,9,<user> after jews r elininated na league players are my next target
10,10,i ask jim how to steal a pop socket from target and he told me to get a scooter and act retarded
11,11,i always hate waking kike up before i have to go to work 😩 😩 😂
12,12,<user> <user> libreal fb banned me for <number> days or a comment against that raghead congress terrorist illan omar i called her a terrorist and a diaperheaded hater of the usa i was banned from <date> <number> no freedom of speech on zuckermans fb unless you are a dumbocrat
13,13,<user> <user> <user> nah boys nah im out niggers
14,14,<user> if he had been white this would not have been an issue but the blacks make it racist
15,15,<user> netflix will you be releasing a homosexual movie about profit mohammad just in time for eid just wondering
16,16,my mom went out and wore a mask and she said two old men told her that she “ looks like the asians ” i cant believe
17,17,i did not expect something kike that holy shit i t looks so good
18,18,cyborg it not that i am a fucking porch monkey but the fact that i am one fourth toaster one fourth lg smart fridge and part gamecube
19,19,impression your nigger your scrawny nigger again what a lesbian to keep yourself around for your nigger
20,20,<user> i hate you
21,21,<user> remember he married to a mud shark
22,22,watching the rugby game and the entire other team has long hair this feels antithetical to the dyke ethos of it all
23,23,you dumb nigger im gonna have your head on a pike
24,24,<user> you mean the wypepo dindu nuffin damn
25,25,<user> bitch stay in your damn nazi lane we do not accept you
26,26,stg i fucking hate white girls yo
27,27,<user> people like you are supposed to be in the streets protesting and fighting for your rights coward wignats dindu nuffin ever except cry
28,28,too many of you woman turn into retarded ass unstable creatures when you ain t got a nigga
29,29,dust bunny women who habitually dates sympathizes with dusties snow bunny white women who pretend to be submissive to lock down a negro hoteptress sister soldier good enough to mule but not valued enough to marry black queen
30,30,<user> i wonder how many of the white trash people who voted for still believes in you
31,31,<user> <user> some say it was goats goat fucker
32,32,niggers whom st release seminal fluid
33,33,eww i hate niggas that ’ why i ’ m lesbian 🥰
34,34,<user> white girl in the second row this nigger has rhythm
35,35,<user> holocaust is a big lie there is no evidence about that holocaust_big_lie
36,36,<user> some shit skin
37,37,league be like kill yourself faggot and i be like yeah
38,38,all of you trickshotting faggots are just variated clones of me muahahahaha
39,39,in my arms by alex g is a faggot anthem
40,40,<user> coming from a rag head no less
41,41,happy birthday you fat dyke sharonda white 😂 😂 ❤️ ❤️ ❤️ ❤️
42,42,niki is a faggot i love them
43,43,skinny niggers waanze kuji report safe cos us chubby men can not be swayed by the wind
44,44,i remember i called this guy a towel head for saying sandn*gger <censored> and he got my acct suspended 😔
45,45,<user> <user> a hindu refugee has roots with india in terms of religion muslim refugee can take refugee at a islamic country more over we cannot see more bomb blasts which start with ola ho uber
46,46,<user> ching chong your dog is gone
47,47,idc how gay i am when city girls come on it ’ still real ass bitch give a fuck bout a nigga
48,48,niggers can not summon tulpas
49,49,i hope joe exotic gets gay raped to death by a tiger netflix
50,50,you niggers need to sack up and tweet nigger
51,51,is it ok for white people to use the word nigger
52,52,pity the daily mails richard kay could not devote a double page spread in todays edition to the <number> of young british girls raped by pakistani sex grooming gangs as he has to boris touching ladies legs at the spectator <number> plus years ago thats how the establishment work
53,53,i am on a quest to find the biggest faggot in america and beat the shit out of him
54,54,atp i need to fuck w a <number> old man that ’ the only way a nigga gone ever understand what i ’ m saying
55,55,<user> des r some of nasty cooked rubbish by blacks dat at times leads to revenge shoot outs by white supremercists learn how to stay in foreign lands respect ua neighbors u r but refugees
56,56,<user> <user> <user> <user> anti muslims feel so happy that muslim ummah is weak and sleeping and is worrying for economy crisis no doubts india is a big consumer market for greedy western muslim countries so they are ignoring oppression with minorities by modi hitler in kashmir under threat india
57,57,<user> <user> kindly check them 😂 they are pakistani cannot export anything better than jihadi terrorists 😄 beggars
58,58,<user> he dindu nuffin
59,59,<user> <user> women are abducted raped then forcefully converted with threats to their complete family if you dont know the depth of filth in islamic doctrine i pity you for someone near will experience considering america too turning into sympathizers enabling radicalization
60,60,<user> satan isn ’ t a spider negro
61,61,<number> school lang <number> since gr <number> ko <number> yeah sauna <number> no <number> moving up nila <number> idk <number> purple <number> ❓ ❓ <number> ching chong <number> none <number> idk <number> no <number> me <number> no <number> no fave i will send u a name
62,62,towel head ass
63,63,<user> same with feminists nothing about the raping gangs attacking <number> year old white girls nothing about fgm although they are starting to demand nhs clinics to treat the victims but never any demand for the arrest of these criminals will lead to moslem only wards to our disadvantage
64,64,<user> will a porch monkey banana suffice
65,65,reading tweets from muslim twitter has made me islamophobic
66,66,tht bisexual person who said dyke apologized for it and deleted the tweet and all ppl are replying under the apology is stream my fancam and __ stans follow me like some ppl are so generic and unfunny it hurts
67,67,skrt skrt skrt sirop stripper pole fuck with us this nigger forever
68,68,he stopped arguing when he realized i am not just some dumb nigger pothead i do this debate shit 😂 💪 🏾
69,69,finally catching up on power tired of you niggers tryna spoil it on the tl lol
70,70,they are bold out here in the pnw i got a quit lookin at me nigger from some white trash chick classy
71,71,<user> i hate that dykes think that fems with a child or with children are looking to be saved i hate that
72,72,according to the bougie niggers gouda is good cheese
73,73,all jokes to the front niggas be queer
74,74,duh kpop stans fetishize asians but its rly disturbing every time i see it blerghb
