,ID,Type,Tweet
0,0,NormalNormalNormal,little dogs always look like they hate you
1,1,NormalNormalNormal,wmsbg r mordche fried making tenoiyem tonight of his son michoel aron in pupa kidish hall
2,2,NormalNormalNormal,mexican women talk good in bed how do mexicans talk
3,3,NormalNormalNormal,rt carlosphoenix to p50 fans ariana grande
4,4,NormalNormalNormal,real madrid is a fucking joke bro 😂
5,5,NormalNormalHate,<user> hate you
6,6,NormalNormalHate,<user> <user> <user> <user> <user> what else we can expect from jihadi terrorist country
7,7,NormalNormalHate,vcu got a bunch of potential blacked stars niggers massive out there
8,8,NormalNormalHate,after some contemplation i ’ ve decided that i fucking hate drinking alcohol
9,9,NormalNormalHate,<number> million jews died in the holocaust thingswesaybutdontmean
10,10,NormalHateHate,impression your nigger your scrawny nigger again what a lesbian to keep yourself around for your nigger
11,11,NormalHateHate,i remember i called this guy a towel head for saying sandn*gger <censored> and he got my acct suspended 😔
12,12,NormalHateHate,my bf hit me but it ok he hits like a faggot real
13,13,NormalHateHate,too many of you woman turn into retarded ass unstable creatures when you ain t got a nigga
14,14,NormalHateHate,some fatass chubby kicked me out of a party <number> being a faggot apparently
15,15,HateHateHate,<user> <user> wait wait you dumb nigger
16,16,HateHateHate,i hate black people you tell a nigger not to do something and they go on and do it niggerantics
17,17,HateHateHate,i hate dykes
18,18,HateHateHate,<user> but to have someone called singh make a towel head comment on national tv is next level
19,19,HateHateHate,i wish the holocaust actually killed <number> million jews that would have been awesome
